 ,DA,SA,LL,CBT,TV,VEC
0.0001,5775,26835,32887,1399679,136287,29295,
0.0002,4684,26213,26640,1524285,140929,31492,
0.0003,4068,21294,26724,1411240,123986,27939,
0.0004,9336,26070,28004,1468905,114502,29660,
0.0005,5060,15660,25375,1343176,120941,30651,
0.0006,4647,20332,26480,1415328,131822,36184,
0.0007,6485,20794,28912,1364767,125191,31646,
0.0008,8046,18628,28260,1534304,131497,33030,
0.0009,6325,17047,27052,1380156,126429,31004,
0.001,4678,18429,28677,1858135,120401,29631,
0.002,10074,28165,30379,1453010,118585,27351,
0.003,9356,21017,26956,1276301,121111,26767,
0.004,5986,15699,23851,1300103,114169,26812,
0.005,5578,21767,27025,1227658,111479,27265,
0.006,4549,17305,25230,1348132,133781,32457,
0.007,15316,23663,31853,1424673,121171,28094,
0.008,7138,22929,31347,1387472,117365,26290,
0.009,6114,18681,26644,1288677,113908,29539,
0.01,6294,19062,29467,1495512,126314,30446,
0.02,7631,16987,25491,1332558,110859,26231,
0.03,8152,20830,25456,1309576,124552,30649,
0.04,7783,21619,26794,1377404,114220,29030,
0.05,8707,18470,28994,1339389,119056,28322,
0.06,11014,20820,27185,1626493,123876,34374,
0.07,10841,21253,27047,1556084,152070,39718,
0.08,10261,22905,27972,1592242,138799,49965,
0.09,9804,19003,47980,1539508,136518,32879,
0.1,9672,21316,29228,1905327,142910,35806,
0.2,10928,18954,27382,1435286,129762,32504,
0.3,8904,16638,28235,1427174,124911,27354,
0.4,9679,17679,27768,1476702,117796,31646,
0.5,8141,18918,35864,1334532,118278,27785,
0.6,9042,16524,35409,1366851,116629,30565,
0.7,9267,20091,30858,1653271,121251,32991,
0.8,11476,22754,34405,2301761,143922,39730,
0.9,9730,20152,30821,1403425,129664,31042,
1,12817,19539,35356,1451074,113518,27082,
