 ,DA,SA,LL,CBT,TV,VEC
0.0001,13941,53534,54360,2248315,215703,47508
0.0002,5195,26992,42169,2242779,319492,45715
0.0003,2724,26911,42926,2080170,218019,59275
0.0004,18816,68846,63928,2444351,199183,46558
0.0005,11551,27026,44755,2206588,197987,47358
0.0006,20036,51221,55631,2286812,188182,46319
0.0007,11468,27090,46665,2180441,246313,74005
0.0008,8397,43046,47646,2201406,233288,45909
0.0009,10453,27382,43501,2005633,212262,47209
0.001,3864,26672,59004,2456681,184271,45754
0.002,16346,27046,41228,2439267,188483,45450
0.003,8746,26996,40919,2274810,195151,45991
0.004,5490,25536,38672,2049805,213458,45376
0.005,14486,45380,62680,2491677,184318,45529
0.006,8443,27589,42931,2210838,238403,84565
0.007,7285,28127,40897,1953912,183268,45985
0.008,9217,76287,62730,2543435,205281,45611
0.009,7465,27280,47286,2195621,183864,46429
0.01,6689,27206,41039,2447687,185505,46338
0.02,13285,27403,41476,2272257,194922,46689
0.03,13168,39779,41181,1946349,183508,46895
0.04,10270,28480,41852,1910181,183182,46321
0.05,12277,27259,61855,1948690,196844,45495
0.06,12562,40825,40623,1951317,173549,44877
0.07,9479,40528,46325,1953903,315694,57034
0.08,11690,35468,42205,1979683,198714,46777
0.09,13849,27646,64465,2250567,261562,49036
0.1,10638,27034,43276,2602041,193681,48678
0.2,10893,40233,42242,2110361,201878,45939
0.3,17711,28846,43684,2151007,196516,45213
0.4,27151,39302,55367,2857034,229696,66387
0.5,9284,25597,126130,2498197,189653,44389
0.6,14687,27640,48865,2054470,207447,48216
0.7,13608,39869,47818,2309038,182538,44704
0.8,13343,27910,48643,2124696,196956,45164
0.9,12300,27095,49638,1993480,173758,43220
1,15028,27777,50656,2165935,182041,45199
