 ,DA,SA,LL,CBT,TV,VEC
0.0001,6002,45990,51773,2415711,290854,50779
0.0002,24819,99046,54341,2643857,221401,48137
0.0003,9860,38254,49053,1992935,189928,47422
0.0004,9678,55979,44254,2613905,223404,47708
0.0005,9103,28086,48279,2293654,204854,48377
0.0006,4286,27860,48476,2370435,204504,68900
0.0007,19587,28273,48045,2489807,208685,47768
0.0008,15506,28622,45340,2987129,241935,47625
0.0009,17489,28322,59056,2421765,277984,68041
0.001,7718,39820,60995,2797964,214883,47572
0.002,24382,27948,48637,3315486,218020,47587
0.003,12358,39367,58557,2312231,242956,47770
0.004,15079,29080,43166,2656664,191144,48516
0.005,5926,29566,43661,2291182,207465,56684
0.006,7439,28128,45402,1862755,189399,46958
0.007,96647,40930,62438,2576109,211680,48506
0.008,15296,35641,42937,1949098,191173,48129
0.009,11546,28384,48008,2153227,191473,47371
0.01,9549,46498,51225,2182051,199497,60315
0.02,12688,28681,44086,1976948,192573,47424
0.03,9408,28806,44305,2244172,248160,47542
0.04,16009,40184,51401,2349229,192024,47144
0.05,15042,35613,50017,2138140,210541,58346
0.06,10515,41846,44260,2162705,196181,78543
0.07,18928,28693,43695,2210125,210313,48552
0.08,19599,37266,57536,2780878,197222,48596
0.09,18567,29301,45709,2504402,241643,71875
0.1,17500,29819,46831,2872500,265181,72481
0.2,27358,45518,60390,3119125,217955,52724
0.3,14912,31474,52050,3272740,213478,52459
0.4,14632,31526,51689,2681658,228644,52684
0.5,15798,39116,52332,2545189,234520,55293
0.6,19064,31266,53017,3007055,217686,51083
0.7,20541,32072,58061,2543901,251829,63385
0.8,33276,42366,66171,9214012,348165,114593
0.9,17090,40291,64128,2858455,249479,59084
1,23515,31725,61148,3170153,229157,52580
