 ,DA,SA,LL,CBT,TV,VEC
0.0001,23831,44188,72623,2170094,227798,48085
0.0002,7462,27387,45600,2380802,212234,46534
0.0003,2549,27324,41671,2094481,196228,45653
0.0004,27692,38485,42461,2359715,183762,79304
0.0005,11850,27817,44157,2326684,268855,87486
0.0006,6061,50253,43902,2741341,200125,47343
0.0007,8535,26678,69571,2110934,252165,45595
0.0008,9669,26928,65753,2692921,220156,80783
0.0009,9151,27081,43083,2120700,190511,45162
0.001,4124,26370,40644,2203425,183740,45036
0.002,11436,66646,91821,2739258,199290,49156
0.003,40032,55813,43255,2276813,196013,49940
0.004,6865,27364,40984,2175704,197099,46704
0.005,10566,26875,40560,1921537,184409,47024
0.006,6405,27615,51601,2149001,202437,45011
0.007,24979,42626,74659,2847772,294616,62311
0.008,7385,30935,81130,2975017,227821,45450
0.009,10725,28068,40620,2167448,203201,46034
0.01,10990,29149,83389,2467249,220641,46269
0.02,8764,25248,38852,1854864,172967,43015
0.03,8623,27330,40814,2144888,181337,45407
0.04,14821,27600,41124,2051862,193779,45192
0.05,10997,27699,47381,1990508,183310,46570
0.06,35045,25561,54873,2606303,185768,43136
0.07,17508,28996,44917,2356882,292597,105969
0.08,13848,28933,45507,2320360,314318,65230
0.09,12038,28198,45276,2421963,185423,45598
0.1,14753,54053,56930,2015881,238860,45196
0.2,12447,27466,42067,2311362,281986,45301
0.3,11086,27389,43226,2284368,241219,46224
0.4,13113,26963,44644,2340408,195500,60896
0.5,16763,47559,50363,2211475,184259,46380
0.6,10500,26863,47013,2191794,196394,44785
0.7,13949,41895,48286,2814466,181923,46244
0.8,11230,26315,49620,2409602,222322,49269
0.9,27163,58115,49300,1943689,185005,43127
1,13362,27131,53384,2205091,201268,43300
