 ,DA,SA,LL,TV,VEC
1e-05,4500,3059556,9675774,23501324,1171122
2e-05,4600,1132621,9720875,22589008,1145320
3e-05,6100,1143220,9501072,22483506,1134620
4e-05,7900,1339924,9524672,22515007,1133820
5e-05,4601,1110520,9365769,22494005,1106820
6e-05,5900,1056519,9520472,22558807,1113620
7e-05,6200,1137220,9544672,22501307,1098219
8e-05,5001,1094719,13711047,22581207,1106420
9e-05,5801,1191721,9230066,27222991,1162321
0.0001,4800,1106720,9053464,22497106,1142420
0.0002,6400,1354425,9013263,22490605,1114021
0.0003,5300,1247023,9272067,22551107,1167721
0.0004,5600,1326324,9417170,22572807,1158521
0.0005,5200,1291823,9000563,22492706,1078319
0.0006,8701,1261822,9098564,22501306,1084919
0.0007,7999,1235464,9187528,22499631,1114767
0.0008,11400,1220616,9400025,22561198,1096815
0.0009,11200,1281217,9152721,22574399,1183216
0.001,8400,1309218,9146421,22572599,1117814
0.002,15201,1272916,8944214,22618590,1136914
0.003,13900,1272217,9205318,22592792,1190115
0.004,16101,1294319,8947036,22565045,1161518
0.005,16301,1306033,8798322,22556369,1118928
0.006,11600,1305419,8777228,22479826,1099416
0.007,12901,1170020,9029059,22550900,1155520
0.008,11500,1249223,8839761,22556411,1090120
0.009,14100,1177923,8852870,22557934,1113222
0.01,15400,1298125,8935472,48208327,1259924
0.02,20200,1344025,9118470,22591220,1130121
0.03,22800,1294124,8894065,22535918,1097320
0.04,56001,1294724,8802163,22602719,1060220
0.05,60501,1246223,8855864,22550218,1076120
0.06,78701,1335525,9244071,22573617,1149221
0.07,91202,1328625,8879864,22586518,1113721
0.08,102702,1172621,8769363,22559518,1068320
0.09,109602,1322625,8980266,22620419,1164122
0.1,131902,1284724,9158270,22578019,1172221
0.2,102402,1181322,8741662,22639620,1111320
0.3,152103,1293524,8939365,22600819,1109021
0.4,117802,1296424,9187471,22674422,1143021
0.5,129402,1230123,9141869,22608319,1120221
0.6,128903,1172822,9244872,22579721,1128721
0.7,140402,1169522,9167871,22590920,1163222
0.8,128602,1300424,9478677,22631523,1207422
0.9,126102,1293524,9184470,22563316,1099520
1,133403,1300424,9255975,22566528,1077021
