 ,DA,SA,LL,TV,VEC
1e-05,6200,320706,906417,2426644,112503
2e-05,5501,129402,897516,2266542,109502
3e-05,2500,97501,604611,2249642,111802
4e-05,5400,111802,891416,2264442,120102
5e-05,4100,111802,785014,6290615,109402
6e-05,6700,160703,936217,2258442,111602
7e-05,4700,109802,726214,2252241,108202
8e-05,4900,109602,610711,2234941,110002
9e-05,6200,105402,5053693,2262841,112503
0.0001,5900,124803,895516,2267542,109802
0.0002,7000,123602,884716,2258341,111502
0.0003,10100,124402,906317,2261241,113402
0.0004,7200,126702,904517,2271641,112702
0.0005,9700,111502,978218,2248141,4139376
0.0006,7100,126803,888716,2252441,110302
0.0007,8401,125702,917816,2258742,114402
0.0008,8100,295706,890016,2247841,110902
0.0009,9600,126002,879116,2262842,111502
0.001,9100,126002,903917,3652967,116402
0.002,9301,124602,892716,6319616,119102
0.003,9200,127702,896817,2256541,112802
0.004,12600,126802,875416,2252642,108802
0.005,8600,126003,897216,2252041,109902
0.006,9301,108402,881916,2245141,109302
0.007,11201,124602,930717,2256041,108302
0.008,9901,125802,896416,2284842,116202
0.009,12600,108302,866116,4221077,111902
0.01,10400,122602,886817,2280041,111603
0.02,9500,123003,852815,2259942,128202
0.03,12100,121302,881016,2258242,116002
0.04,10300,121903,852115,2285042,109702
0.05,14300,127202,889117,2271743,112402
0.06,15300,124602,895217,2257442,112002
0.07,14000,123802,884016,2261842,115302
0.08,15800,123502,867116,2264243,117002
0.09,15800,123703,939018,2342943,116102
0.1,16201,121102,875216,2251942,110102
0.2,24100,122302,878917,2304943,117002
0.3,23500,121403,888317,2313542,113902
0.4,30401,101302,877816,2231141,109702
0.5,30601,101102,862516,2250141,107502
0.6,31200,122303,873616,2261142,110502
0.7,38200,119503,881917,2252541,111702
0.8,33900,112202,922017,2253042,116702
0.9,32201,124202,912517,2239341,112702
1,128298,123399,914289,2239773,113099
