 ,DA,SA,LL,TV,VEC,CBT
1e-05,3775,143717,545725,9100,158658,1880,
2e-05,1785,43145,419647,10185,43385,1760,
3e-05,1515,18600,415542,7545,16215,1680,
4e-05,1510,20670,406877,9745,18650,1695,
5e-05,1860,22110,419387,8155,20170,1590,
6e-05,1600,17405,384762,9885,14500,1665,
7e-05,2000,13320,410552,12575,11815,1855,
8e-05,1575,18200,393847,9710,16945,1655,
9e-05,1955,15650,413067,8895,14545,1735,
0.0001,1750,17770,400987,9215,15375,1740,
0.0002,2280,21265,440463,11115,18915,2105,
0.0003,2785,27335,491444,9945,23695,2060,
0.0004,2165,20730,416572,11695,19040,1995,
0.0005,2220,18755,417151,10545,17175,2160,
0.0006,2720,22710,454532,10555,21055,1795,
0.0007,3195,23320,455882,11130,21215,1920,
0.0008,2375,17105,438287,9335,15245,1875,
0.0009,2465,25810,474018,10495,24605,1890,
0.001,2475,20050,441892,11160,17635,1880,
0.002,2705,21975,438997,12140,21340,1935,
0.003,3105,27435,461253,12200,23970,1980,
0.004,2605,18575,437972,12215,17430,1790,
0.005,2720,15955,446088,11415,14935,1795,
0.006,3120,24905,446663,12005,21990,1840,
0.007,2720,26405,442403,9395,24315,1845,
0.008,3025,20155,490889,11210,18660,1980,
0.009,2975,22625,435978,10910,20995,1885,
0.01,3080,21405,463143,10680,19025,1890,
0.02,2940,20510,445438,14625,18425,1770,
0.03,3075,27060,481224,13340,25690,1770,
0.04,2745,19680,464549,12380,17485,1610,
0.05,2805,23700,505739,14915,22360,2930,
0.06,2470,19950,548535,15075,18790,1975,
0.07,2235,23140,509349,14240,22690,1915,
0.08,2320,21290,482249,13145,19490,1670,
0.09,2215,18685,479664,13625,16885,1560,
0.1,2710,21930,551490,13310,21415,1805,
0.2,2395,21950,616981,16465,19565,1790,
0.3,2200,26400,715798,13125,25320,1935,
0.4,2360,20410,789826,15335,19165,1780,
0.5,2300,21970,851011,16615,19940,1825,
0.6,2245,20820,851900,13335,19295,1820,
0.7,2500,24915,1013173,13865,22835,2195,
0.8,2130,18780,1150311,14780,17355,1990,
0.9,2155,23190,1181834,13500,21945,2240,
1,1850,27175,1030134,13145,25150,2195,
