 ,DA,SA,LL,TV,VEC,CBT
1e-05,6700,7100,420807,11800,4800,1500
2e-05,1300,45300,359806,9101,52900,1000
3e-05,900,1100,369206,3000,1900,1200
4e-05,1900,31800,543510,6800,33100,1300
5e-05,1700,30701,433407,3900,29901,1200
6e-05,1200,30001,358606,2900,24600,1100
7e-05,1000,6901,356605,18200,7100,1901
8e-05,2200,15801,362306,7600,10400,1300
9e-05,1900,400,383206,2100,700,1800
0.0001,1400,30000,368606,4300,28401,1500
0.0002,1400,9200,453708,12700,8100,1500
0.0003,2900,36700,552109,12701,35400,1600
0.0004,1400,44001,397807,3400,44601,1000
0.0005,1500,29901,375806,10300,23801,1200
0.0006,1300,17301,358606,8700,14600,1100
0.0007,1400,26000,358306,5400,23201,1100
0.0008,2100,22000,448508,5700,18100,2300
0.0009,3600,35900,541709,24001,36300,1300
0.001,1800,17200,374606,3900,14001,1500
0.002,2400,45400,403207,8400,54901,1500
0.003,1800,47501,423707,7600,50201,2100
0.004,1101,10200,358105,12401,8200,1200
0.005,1400,3700,374707,8101,2600,1500
0.006,1600,4000,358407,10100,4701,1300
0.007,4400,3300,540310,13601,5900,1700
0.008,2100,4000,358907,19600,3200,1600
0.009,3500,31400,479902,4200,29600,1400
0.01,2800,30700,550102,10000,31600,1500
0.02,6100,47701,365607,13400,40101,1500
0.03,1900,41000,362607,5900,45901,1500
0.04,4200,20700,384708,13100,17000,1400
0.05,3200,25901,488109,27100,27101,1300
0.06,3100,3500,375807,14300,2600,1500
0.07,1801,31500,371907,10300,36401,1800
0.08,1200,14101,373907,10600,18400,1000
0.09,1800,9600,382808,16300,7200,1700
0.1,2500,42500,494910,18400,42401,1800
0.2,4100,2700,1008119,12100,4500,1800
0.3,4900,28201,914717,18601,31300,1600
0.4,1800,26601,685013,29500,29701,2100
0.5,2000,9600,606211,16101,13200,1300
0.6,2600,37401,1275524,15601,37700,1600
0.7,2000,801,659512,2100,900,2500
0.8,2200,19200,1589730,27001,18000,2000
0.9,2900,39500,2049198,27000,43100,3700
1,2500,10500,1201323,16201,10400,3000
