 ,DA,SA,LL,TV,VEC,CBT
1e-05,1800,1300,535710,3100,1200,1900
2e-05,800,26101,356507,1900,24100,1600
3e-05,2800,30601,529810,7000,30901,1900
4e-05,900,31600,464209,10201,30200,2900
5e-05,2600,4801,356006,16101,2900,1300
6e-05,1600,25801,356307,6200,22200,1700
7e-05,1800,4600,362907,14301,4600,3300
8e-05,1200,24600,356907,2400,27301,1300
9e-05,900,14901,368707,5700,15700,2200
0.0001,1100,3500,356507,8200,3700,1500
0.0002,1600,20901,418208,9100,17000,1300
0.0003,2000,48101,485609,13500,43701,1900
0.0004,1700,5300,364207,7700,4400,1800
0.0005,1000,13400,357907,11700,14900,2400
0.0006,1800,14801,400707,13401,12400,1300
0.0007,2500,23301,528410,12900,23801,2000
0.0008,1300,15200,359707,12800,15101,1500
0.0009,2400,26900,362907,4401,24700,2000
0.001,4000,35000,507810,3800,33501,2400
0.002,2800,41301,585511,15100,43401,1600
0.003,1400,6300,362707,16000,3500,1300
0.004,2800,13901,515010,18500,13700,1800
0.005,1900,400,359607,1400,600,2100
0.006,3000,21900,372708,15700,20400,1700
0.007,3800,49001,593311,8101,50901,1400
0.008,3000,15800,471709,16900,14201,2100
0.009,4200,30901,401408,18200,25801,2100
0.01,5100,8400,365807,9300,7301,3000
0.02,3100,6900,544611,19100,5200,1900
0.03,3200,41701,649212,14600,41401,1801
0.04,2700,28601,503409,4901,28300,1200
0.05,2100,9600,438708,14801,10400,1700
0.06,2500,1900,427308,9200,2601,1400
0.07,2600,23901,446409,6800,27000,2300
0.08,1700,4401,389507,9600,3500,1500
0.09,2800,12400,422808,8401,14500,1900
0.1,3800,16300,780115,20801,21300,2000
0.2,2000,10001,506109,16001,9700,2200
0.3,2300,51301,1231824,7100,48901,1600
0.4,3700,32601,1409848,30801,39001,1800
0.5,1600,13700,593209,20200,11800,1700
0.6,2000,6200,614512,13101,8400,1300
0.7,1700,26200,669513,6200,23400,2300
0.8,1100,13900,712814,12900,12200,1700
0.9,1500,40401,743815,3600,35100,2100
1,1800,25301,790915,15700,24901,2600
