 ,DA,SA,LL,TV,VEC,CBT
1e-05,1800,13900,538911,18100,11600,1700
2e-05,1300,42101,367407,9700,42701,1400
3e-05,1100,23700,353807,4300,21701,2700
4e-05,1000,11300,357107,7600,7600,1200
5e-05,2301,35400,582611,8400,36201,1900
6e-05,1800,15000,369707,22301,10200,3500
7e-05,2100,3900,357607,17600,3000,2200
8e-05,1400,10100,358807,16100,6901,1600
9e-05,3600,12700,581911,18001,13100,1700
0.0001,1600,6300,365807,16600,5100,1700
0.0002,2500,16000,586912,13900,18400,2100
0.0003,5900,29900,610611,6300,29501,2600
0.0004,3300,3600,364207,14600,4100,3300
0.0005,4600,7400,361607,15301,6900,3300
0.0006,4100,28000,574511,7000,29201,2700
0.0007,4600,37100,605812,10500,38401,3300
0.0008,4700,400,638212,4000,1300,2000
0.0009,2600,30301,583611,5900,27400,1500
0.001,2700,12700,359707,14300,9400,1800
0.002,3200,45101,566211,15700,46301,2000
0.003,2200,14100,565811,15400,13401,3500
0.004,2400,47601,614312,13300,41301,2700
0.005,3000,11601,541010,14800,11800,1700
0.006,2900,19601,361807,5100,16200,1600
0.007,2100,33901,389007,4000,28501,1600
0.008,2600,1100,366107,4900,1300,2600
0.009,2500,11000,365907,8300,9800,2000
0.01,5500,24200,378508,21500,14500,2500
0.02,2200,17801,360606,15400,14700,901
0.03,2400,2900,364307,13800,6001,1200
0.04,1600,30100,374308,9400,27101,900
0.05,2900,47501,661913,8500,44901,1700
0.06,800,3400,363907,4900,1900,2500
0.07,2300,33400,486110,11100,31101,1100
0.08,3000,28600,380808,5100,25300,2000
0.09,1400,13200,386708,9400,12000,1000
0.1,2600,23901,487909,11701,23900,1100
0.2,4000,17500,896417,23501,17200,1900
0.3,2001,36400,515809,10301,31900,1600
0.4,2900,14600,1477528,26001,14600,2500
0.5,1900,26200,1195623,8201,26900,1400
0.6,2800,41600,1340326,18400,40701,1400
0.7,2200,34200,845917,3600,33600,1400
0.8,3400,43001,1760634,5700,44201,1500
0.9,3900,34101,2046539,17600,33701,3200
1,2100,40201,1273824,8400,40601,3600
