 ,DA,SA,LL,TV,VEC,CBT
1e-05,2400,284306,596711,6300,333807,3900
2e-05,3200,23100,591711,19901,21500,2200
3e-05,3800,25500,595012,13700,23600,1800
4e-05,2800,9400,397408,18000,9100,2800
5e-05,2700,41201,593811,3900,36701,2100
6e-05,1900,11200,379707,10601,7600,1700
7e-05,1400,2000,357807,7700,2200,2300
8e-05,900,29400,371807,2500,28101,2100
9e-05,1200,13600,357007,9600,8900,2000
0.0001,1700,4400,353907,13200,4800,2100
0.0002,2900,3600,361907,14401,4000,2800
0.0003,3900,45201,544711,5100,41301,2000
0.0004,3100,28800,432109,9100,29400,2100
0.0005,1200,21301,373807,7500,17500,2500
0.0006,2400,9700,590012,24700,9100,2100
0.0007,4801,34100,567510,15401,29100,2800
0.0008,1600,4600,358607,11400,5300,2000
0.0009,4400,20501,589911,16300,19000,1900
0.001,4400,34801,593011,7200,31701,2100
0.002,4301,2400,433208,11400,2100,3600
0.003,3501,47000,583611,8700,39301,1500
0.004,3800,26701,605011,23201,23800,2100
0.005,2800,12901,364607,10800,13600,2600
0.006,3300,28300,580411,9700,24501,2000
0.007,2500,7500,364007,14701,6700,2000
0.008,2400,7500,490610,17100,6400,1800
0.009,2000,18700,384208,10100,15300,2800
0.01,3600,27901,635212,11900,25801,1800
0.02,1700,44001,446908,3200,40101,1100
0.03,2000,10601,366507,2000,10700,2000
0.04,2700,12900,376707,4200,12401,1600
0.05,2400,46701,475409,6300,42801,1300
0.06,1800,5700,439209,11400,6000,2000
0.07,1200,6200,365507,17700,7000,1000
0.08,2600,21901,373907,15200,16400,1600
0.09,1500,4800,568211,16700,4700,1200
0.1,3500,26501,612711,6300,27701,2600
0.2,2400,3800,440208,14201,3300,1300
0.3,2700,31901,1219523,12101,30200,2400
0.4,2100,13200,537910,10501,11700,1600
0.5,1800,28500,629712,7801,24700,2800
0.6,2100,33700,980018,6200,30001,900
0.7,2500,15300,686513,14700,16600,1200
0.8,1900,25001,695313,9600,23700,1400
0.9,900,4700,730814,12100,5600,2100
1,1300,30300,792415,8100,27301,2600
