 ,DA,SA,LL,CBT,TV,VEC
1e-05,2978,645,665,12373,1579,379,
2e-05,548,735,1027,12074,1572,609,
3e-05,1086,548,717,9293,1974,415,
4e-05,746,930,704,9989,1475,722,
5e-05,679,668,743,11356,1669,901,
6e-05,611,2617,543,12566,2500,880,
7e-05,671,758,731,11454,2212,493,
8e-05,1509,1008,551,10929,1500,549,
9e-05,509,894,761,11949,1505,842,
0.0001,1133,668,1202,9378,2123,476,
0.0002,960,1892,841,11407,1682,424,
0.0003,1327,1223,669,11251,1797,1133,
0.0004,1371,731,1220,12638,1972,948,
0.0005,1220,1373,912,11937,2174,638,
0.0006,1192,2478,625,10042,2395,2506,
0.0007,735,1838,569,11619,1884,737,
0.0008,1115,2150,622,10888,2588,456,
0.0009,764,1080,888,10986,1493,456,
0.001,711,1131,1719,13072,1677,1290,
0.002,2168,732,1134,14390,2262,485,
0.003,1525,2160,556,11666,2073,583,
0.004,2479,789,957,11493,1626,416,
0.005,1510,1119,1576,10923,1626,1024,
0.006,1858,1843,557,11635,2429,740,
0.007,1223,632,1820,12108,1891,401,
0.008,1345,1155,539,11642,2290,567,
0.009,957,528,1456,13077,2959,398,
0.01,929,687,1173,12874,2821,474,
0.02,2402,690,1120,13027,2069,987,
0.03,2279,698,1539,12734,1481,429,
0.04,2173,1018,1272,14459,1693,426,
0.05,2187,1128,718,10508,1908,534,
0.06,2620,734,657,13166,1935,385,
0.07,2161,621,950,12143,1385,370,
0.08,1611,1741,1928,11135,1689,546,
0.09,1956,2098,1371,15103,2207,837,
0.1,1875,739,719,16460,1911,913,
0.2,2407,593,1438,12450,1416,611,
0.3,2516,1408,1363,12870,2915,619,
0.4,2104,1144,710,11289,2044,1351,
0.5,2010,1532,597,10291,2439,714,
0.6,2624,1696,1258,11499,2269,593,
0.7,4184,2028,1152,14896,1562,862,
0.8,3938,629,1297,15844,1609,1029,
0.9,2788,1292,1802,11174,1953,540,
1,4498,673,1037,11202,1625,933,
