 ,DA,SA,LL,CBT,TV,VEC
1e-05,960,1170,1367,21667,3293,755
2e-05,791,860,3387,25858,2896,724
3e-05,3682,894,1158,20741,3114,766
4e-05,866,2473,1252,20561,2707,2453
5e-05,734,832,786,22429,5253,811
6e-05,755,697,808,30886,2737,710
7e-05,957,777,910,28457,3087,725
8e-05,935,3958,1059,22368,3130,2174
9e-05,787,792,754,28792,2691,2927
0.0001,784,833,917,16336,4525,749
0.0002,1460,12525,1277,25503,4816,862
0.0003,1439,1767,1321,22861,3154,740
0.0004,7021,832,1630,24727,2982,778
0.0005,1200,7494,1008,21883,2796,2604
0.0006,994,1453,971,19858,8591,812
0.0007,1712,5699,1178,24296,3056,2329
0.0008,1268,945,1199,24445,2975,763
0.0009,1474,1144,908,19430,2936,771
0.001,1172,1471,1157,14297,2997,5660
0.002,2215,1513,900,22408,7825,797
0.003,1728,1515,960,28226,2732,754
0.004,2004,1382,4989,20626,3084,828
0.005,1752,6330,1106,18458,3290,2478
0.006,5893,1202,899,24558,2697,720
0.007,1365,1243,1527,24119,3091,818
0.008,2168,1313,1189,23908,8383,777
0.009,2071,1265,1020,33706,8302,753
0.01,1623,1289,988,14879,11486,1387
0.02,2025,772,853,19987,7171,749
0.03,7629,1450,1259,17974,3189,799
0.04,3766,5325,1061,25954,4224,719
0.05,2563,793,1480,18038,3192,864
0.06,4069,1562,1092,28117,3447,866
0.07,3033,832,1163,27407,3067,749
0.08,3152,6818,1146,19260,2725,2401
0.09,2769,1095,7138,19708,2765,736
0.1,4133,1588,1387,40909,4056,988
0.2,4199,1528,4352,17738,2971,728
0.3,4562,1732,8836,40162,10723,947
0.4,4299,1244,2226,18894,8510,781
0.5,4143,1185,1388,19024,6442,754
0.6,9237,1014,1577,25207,2721,790
0.7,4057,6008,1467,16769,2585,1898
0.8,9639,688,1379,23873,2639,657
0.9,3924,784,1239,24411,8194,658
1,4112,806,1531,19317,2563,5354
