 ,DA,SA,LL,TV,VEC
1e-05,925,2870,9505,4825,680,
2e-05,680,1630,9765,4535,505,
3e-05,1025,1790,10255,4965,720,
4e-05,965,1725,10230,4925,625,
5e-05,905,2425,11225,4470,605,
6e-05,950,3185,11070,4710,595,
7e-05,985,2145,9000,4670,610,
8e-05,835,1615,11010,4620,585,
9e-05,970,1720,9685,4575,555,
0.0001,1005,1845,9015,4625,655,
0.0002,1160,1820,12250,5125,585,
0.0003,1145,2110,10860,5370,575,
0.0004,1175,1920,12505,4755,600,
0.0005,1165,1485,10590,4625,715,
0.0006,1155,2700,11200,4870,610,
0.0007,1245,2075,10475,5485,685,
0.0008,1205,2050,10905,4585,760,
0.0009,1340,2000,10885,4875,635,
0.001,1230,2265,11220,4560,835,
0.002,1810,2110,10745,4715,725,
0.003,2255,1790,9250,4565,740,
0.004,2130,2035,12240,4810,580,
0.005,2195,2230,9445,4800,740,
0.006,2310,2280,9685,4665,670,
0.007,2165,1640,11875,4715,620,
0.008,2590,2280,10650,4840,780,
0.009,2170,2300,11695,4870,755,
0.01,2500,2085,10700,4865,665,
0.02,2555,2105,11040,4830,635,
0.03,2430,1820,12775,4520,595,
0.04,2400,1820,9780,4320,745,
0.05,2290,1990,11205,4340,700,
0.06,2560,1870,9760,4370,725,
0.07,2445,1995,11245,4040,620,
0.08,2440,1840,9625,4265,625,
0.09,2640,1845,11760,4170,605,
0.1,2835,1990,12295,4395,765,
0.2,2575,2265,12655,4350,665,
0.3,3190,1855,9525,4235,745,
0.4,3020,1925,10200,4215,660,
0.5,3250,2140,9300,4495,735,
0.6,3580,2075,9055,4375,735,
0.7,3195,2170,11235,4265,760,
0.8,3130,1710,10580,4345,770,
0.9,3300,1745,12005,4110,660,
1,3395,1850,10185,4215,620,
