 ,DA,SA,LL,CBT,TV,VEC
1e-05,10601,873469,1009679,176723613,19613644,1244398
2e-05,4800,653852,971377,205136049,3320961,1265900
3e-05,6301,657151,974477,227321895,11195781,1168292
4e-05,5301,750159,4083221,214456383,3158649,1229296
5e-05,6500,698355,1328705,187098429,19302120,1226396
6e-05,9201,679754,1189093,206205933,3447172,1258199
7e-05,8601,757260,1193694,201812887,19388326,1127189
8e-05,9200,742458,1129789,200949520,19271817,1211495
9e-05,8601,752459,4033017,214840613,3444971,1213096
0.0001,8701,760560,1295802,201011424,19607343,1245399
0.0002,12101,692055,4792877,186811006,10989265,1013280
0.0003,15101,580146,946975,188102908,2980535,887469
0.0004,15401,2130968,842766,172667693,3456572,1210796
0.0005,17201,15453417,907071,179701847,3106645,987277
0.0006,16602,739158,4942989,174949872,19427130,1236597
0.0007,18602,567044,1163691,211417044,2597704,899371
0.0008,20202,599747,775161,191613084,14861470,984077
0.0009,16701,719157,4674368,180181585,4029417,5816658
0.001,19901,584446,951175,164348238,23071817,1219496
0.002,32302,606248,4655867,202180916,3459873,1228896
0.003,36202,699856,918272,198237806,19386626,1174992
0.004,35203,758760,1423912,210412764,3451372,1208095
0.005,39503,723557,5214910,203213497,19580742,1176892
0.006,53304,4245135,1290101,182703283,13664376,1010280
0.007,49804,736758,864768,208756634,3355764,5137804
0.008,44803,765861,1243798,198340714,19507436,1211695
0.009,45303,658852,3947611,181578795,19276617,1203895
0.01,51904,736858,5866962,179889962,18610865,1083585
0.02,76306,727957,1240498,182536870,14536944,1062584
0.03,109909,654351,936274,218795324,23056415,1228897
0.04,133911,727657,1333005,190471795,19445430,1017181
0.05,130811,742158,4989392,222458513,2939232,17144149
0.06,155012,748259,1499519,202730059,3436071,1219296
0.07,163113,738859,1362707,213271390,10477924,6528213
0.08,137811,602347,7898322,188065505,4426949,15673134
0.09,155512,730757,1188694,213408000,19441930,1247598
0.1,156112,769360,4732473,198272709,12399676,1153991
0.2,182914,710456,1402210,192061221,20106383,1216395
0.3,178414,765860,1345606,189743938,16150671,991278
0.4,196815,698555,2303482,210193448,3518777,1209495
0.5,204916,738658,2816022,181365978,19352424,1218796
0.6,561745,756459,1560122,186589189,15447416,1199295
0.7,169713,510640,1511719,183454643,19512436,1212596
0.8,168013,621250,7184372,161648869,23487970,1210396
0.9,189815,727158,6241194,172767381,3247058,17187061
1,202015,781161,2967134,211125885,19802665,1222596
