tableawards5 , wl3.cpp, tiered <500>, swap(pos, +600, +1000, +2500)
insert, ADA, SA, CBT, LL, TV
asyn,57609930,58956018,57608535,59941331,57609955
syn,83406783,84752870,83405388,85738183,83406808
delete, ADA, SA, CBT, LL, TV
asyn,36970679,38077994,36970949,39937528,36971064
syn,53198732,54306046,53199002,56165581,53199117
reorder, ADA, SA, CBT, LL, TV
no framework needed,900,1500,3800,2400,3900
swap, ADA, SA, CBT, LL, TV
no framework needed,4100,9100,429006,8300,22900
query, ADA, SA, CBT, LL, TV
prefetching,11331,3122,32282,5465,7743
non-prefetching,15778390,15770181,15799341,15772525,15774802


