 ,DA,SA,LL,TV,VEC,CBT
1e-05,1400,400,1300,600,700,1500
2e-05,1500,400,600,400,200,2300
3e-05,400,400,1000,300,100,1300
4e-05,1200,300,1200,400,300,1800
5e-05,300,200,1200,500,0,1600
6e-05,300,100,700,300,400,1000
7e-05,500,100,200,300,0,3000
8e-05,1000,300,1600,400,200,1800
9e-05,1500,500,1000,300,100,1300
0.0001,600,200,2700,1100,100,1900
0.0002,500,300,2200,1500,300,1600
0.0003,1100,300,1200,400,300,1500
0.0004,1500,300,1500,800,200,2200
0.0005,1900,200,400,800,200,2100
0.0006,1200,100,300,2100,400,2200
0.0007,600,300,2000,600,300,2400
0.0008,1300,200,1300,1000,100,2900
0.0009,1900,300,2600,600,500,1700
0.001,1200,300,600,800,100,1600
0.002,2000,300,900,900,200,1600
0.003,2400,200,1200,600,100,2500
0.004,2300,300,1700,1000,200,1500
0.005,1700,100,700,700,100,3000
0.006,1600,500,600,1300,300,1700
0.007,2500,700,500,600,500,1900
0.008,1901,300,900,1100,600,2300
0.009,1400,200,601,900,0,1300
0.01,2900,200,800,1300,0,2500
0.02,2200,300,800,700,200,3200
0.03,2100,300,600,900,100,3500
0.04,1900,300,800,800,300,1400
0.05,1600,300,1100,400,100,2200
0.06,3400,200,1400,600,200,1500
0.07,1300,300,1600,700,100,3200
0.08,2100,300,1000,700,300,1100
0.09,1400,100,800,400,800,1500
0.1,1700,300,2700,800,100,2400
0.2,2700,200,800,400,300,900
0.3,2700,200,1600,300,300,1900
0.4,1900,100,1100,600,100,1900
0.5,2500,400,1100,800,0,2100
0.6,2100,0,500,600,0,1100
0.7,2500,600,800,400,100,2201
0.8,1700,600,700,600,100,2700
0.9,2500,700,400,500,100,1800
1,2500,100,600,600,0,2400
