 ,DA,SA,LL,TV,VEC,CBT
1e-05,600,300,1100,600,200,1300
2e-05,800,500,600,700,100,1500
3e-05,300,100,600,500,100,1900
4e-05,300,200,300,500,200,1100
5e-05,500,100,300,300,100,900
6e-05,400,300,400,700,200,1500
7e-05,400,400,300,700,100,1100
8e-05,300,200,100,600,300,800
9e-05,500,0,200,500,0,1400
0.0001,600,400,1100,500,100,1600
0.0002,500,0,400,500,100,1500
0.0003,700,200,600,400,200,2800
0.0004,1900,800,500,400,200,700
0.0005,800,500,400,700,100,1500
0.0006,1500,100,500,300,100,1400
0.0007,800,100,700,600,0,1600
0.0008,800,200,500,500,200,1200
0.0009,500,200,100,400,100,2200
0.001,800,200,1300,400,100,1000
0.002,2400,200,1000,500,200,1400
0.003,1400,300,1200,800,400,1000
0.004,1100,100,700,400,100,900
0.005,1800,400,1500,1500,200,1900
0.006,1100,200,900,600,100,800
0.007,1000,200,500,400,500,800
0.008,1200,200,1300,500,100,1100
0.009,1600,200,400,500,100,900
0.01,900,200,400,500,100,800
0.02,1100,0,700,300,100,1300
0.03,2700,400,1900,600,100,1300
0.04,1300,400,1000,1601,300,1300
0.05,1300,200,1700,1400,100,700
0.06,1300,200,700,600,0,700
0.07,3000,500,3100,400,600,1400
0.08,1200,200,500,600,200,1200
0.09,1300,100,1300,600,0,1600
0.1,1600,200,1100,900,100,1500
0.2,1100,100,200,700,100,1200
0.3,1400,100,600,300,0,1200
0.4,1401,200,500,400,100,1600
0.5,1800,1600,1400,500,600,1100
0.6,1300,400,2800,500,100,2500
0.7,1400,300,400,500,200,1800
0.8,1000,200,900,300,100,1100
0.9,1500,300,3900,600,100,1500
1,1300,200,1100,300,100,1000
