 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,300,2000,800,100,1800
2e-05,400,200,400,500,100,1100
3e-05,1700,400,900,200,100,1200
4e-05,1100,500,1200,500,400,1900
5e-05,500,200,500,1400,100,1500
6e-05,800,300,2100,600,300,2200
7e-05,700,300,2100,600,300,2000
8e-05,1100,300,800,1400,100,2500
9e-05,400,200,300,600,100,1700
0.0001,900,100,200,800,100,2800
0.0002,1300,200,400,1000,0,1700
0.0003,1500,300,1300,700,100,2400
0.0004,1500,100,1800,1100,0,2200
0.0005,1000,600,700,1100,300,1500
0.0006,1900,100,1200,900,0,2700
0.0007,1000,800,1300,900,100,1700
0.0008,1300,0,300,600,100,2400
0.0009,2001,400,1600,300,200,1100
0.001,1900,300,300,600,200,1700
0.002,3100,100,600,700,100,2600
0.003,2600,100,200,1100,0,2300
0.004,2300,200,800,500,100,2000
0.005,2000,200,400,600,100,3800
0.006,1600,200,400,1000,200,2800
0.007,1800,300,700,1200,200,2800
0.008,1200,200,1300,400,100,1900
0.009,2100,300,1500,1500,300,2100
0.01,1000,100,800,1800,100,600
0.02,1900,0,400,500,0,2000
0.03,1700,200,500,1300,100,1601
0.04,2400,300,600,400,300,2400
0.05,2000,100,1200,1100,0,1700
0.06,1700,200,200,800,100,1200
0.07,2700,400,1300,600,100,1200
0.08,2800,300,400,700,300,1800
0.09,2200,400,1100,700,200,1600
0.1,1300,100,500,600,0,3000
0.2,1900,300,700,500,100,2800
0.3,1900,300,1600,600,300,2600
0.4,1700,300,3600,400,100,1800
0.5,1000,100,1000,600,0,1100
0.6,1600,100,1000,900,100,1800
0.7,2100,100,300,1000,0,1800
0.8,1200,300,1700,400,300,1000
0.9,1200,300,1500,400,100,1200
1,2200,300,1900,500,100,1600
