 ,DA,SA,LL,TV,VEC,CBT
1e-05,1400,100,200,600,0,1300
2e-05,600,100,1200,400,200,1100
3e-05,500,300,200,500,200,900
4e-05,500,200,400,500,100,800
5e-05,500,100,300,400,0,1200
6e-05,500,300,1000,600,100,1100
7e-05,400,100,300,200,200,1800
8e-05,400,100,400,400,100,1200
9e-05,400,100,400,400,200,1500
0.0001,400,100,400,300,100,900
0.0002,900,300,900,400,100,2000
0.0003,400,200,300,400,200,1000
0.0004,700,200,300,200,200,600
0.0005,400,0,300,400,0,1100
0.0006,600,400,400,500,200,1700
0.0007,700,100,200,400,100,1100
0.0008,1200,100,500,301,0,1400
0.0009,800,100,400,600,100,1400
0.001,700,200,300,400,0,1401
0.002,1000,100,701,400,0,1100
0.003,1200,100,600,700,100,1300
0.004,1200,200,1200,500,200,2000
0.005,1700,100,400,400,100,1300
0.006,1300,100,1000,800,100,1300
0.007,1400,100,500,700,100,1200
0.008,1300,400,500,400,200,1000
0.009,1300,100,200,400,200,1000
0.01,1600,200,500,500,100,1300
0.02,1300,300,1000,900,300,3800
0.03,800,700,700,500,200,900
0.04,1800,100,200,400,0,1200
0.05,1200,100,1200,500,100,800
0.06,1700,300,700,900,400,1101
0.07,1800,400,2600,700,200,1800
0.08,1301,100,800,500,0,900
0.09,1600,200,900,900,100,1700
0.1,1700,200,1200,500,200,1100
0.2,1300,0,1300,400,100,1100
0.3,1200,100,200,500,100,900
0.4,900,0,600,300,100,800
0.5,1600,300,1400,700,100,1000
0.6,1800,200,600,700,200,1700
0.7,1300,0,1100,500,100,1800
0.8,900,200,1100,600,100,800
0.9,1400,100,1000,500,100,1200
1,1100,100,1200,300,100,2400
