 ,DA,SA,LL,TV,VEC,CBT
1e-05,700,300,2100,400,100,1000
2e-05,300,300,2400,700,400,1200
3e-05,200,300,600,400,300,500
4e-05,400,200,1600,700,300,1201
5e-05,300,300,800,400,400,1800
6e-05,1200,300,1800,500,100,1500
7e-05,400,300,2700,300,100,1800
8e-05,600,200,1400,700,300,2100
9e-05,400,200,1000,700,100,1500
0.0001,300,200,500,400,200,2300
0.0002,1000,700,500,600,100,1400
0.0003,1100,100,600,800,0,3000
0.0004,1600,100,700,700,100,3000
0.0005,1700,0,600,1000,0,1400
0.0006,700,100,800,2600,100,1100
0.0007,1000,100,2000,1200,100,1700
0.0008,1700,200,400,400,100,3200
0.0009,1700,200,1700,1100,0,1700
0.001,900,0,1801,600,0,2400
0.002,1100,300,900,700,100,1100
0.003,1300,300,1300,800,100,2300
0.004,1700,300,500,1000,200,2600
0.005,1700,300,1500,500,100,3600
0.006,2700,300,1400,700,200,1700
0.007,1700,400,700,500,200,1500
0.008,700,100,400,300,100,900
0.009,2100,300,900,600,100,2900
0.01,1800,200,1800,900,100,2200
0.02,1800,300,1800,500,200,1900
0.03,2100,200,600,600,100,3000
0.04,1900,300,800,1500,400,1300
0.05,2200,300,1200,1000,400,1500
0.06,1500,200,3100,1100,300,1100
0.07,2100,900,1200,400,200,901
0.08,1600,400,1800,700,200,2200
0.09,2100,700,1300,800,900,1500
0.1,1400,700,1500,500,100,1100
0.2,1200,300,1200,1300,300,1800
0.3,1600,300,400,1000,0,1900
0.4,1100,100,300,1300,100,1800
0.5,2000,100,1300,600,100,3300
0.6,1500,200,1600,500,200,2900
0.7,2701,400,2900,300,100,1500
0.8,1300,300,1400,400,100,1200
0.9,1900,300,2000,500,100,1900
1,1500,100,600,600,0,1400
