 ,DA,SA,LL,TV,VEC
1e-05,3100,759660,7895722,30803,2696612
2e-05,2800,807863,9333235,33303,54804
3e-05,2800,2970234,8247850,43004,175613
4e-05,3001,6100380,8315255,10601,415033
5e-05,3100,3018438,8010331,42703,140311
6e-05,3700,306024,8333157,22802,23002
7e-05,2801,6665025,7806115,14601,432534
8e-05,3600,3166550,7862720,36703,210916
9e-05,9400,633750,7893222,25002,37803
0.0001,3501,3785998,7991730,29902,238719
0.0002,4500,751159,10115397,30703,57804
0.0003,4800,1752438,8226849,29302,104208
0.0004,4800,6560717,7939826,20402,394431
0.0005,4601,796563,8617879,15801,62405
0.0006,6000,5039197,8313455,30303,279522
0.0007,3400,318725,7534094,7500,26402
0.0008,5200,5355522,8180945,13101,337927
0.0009,5300,1363908,7853419,26502,81507
0.001,4401,4138226,7681405,31003,306824
0.002,5501,6328399,8001030,11201,352528
0.003,4400,1589026,7939326,20701,78207
0.004,5500,4537458,7900823,20001,263021
0.005,5300,672753,19769958,29003,51104
0.006,4801,822865,8647481,18702,58804
0.007,4500,1948154,7750311,33403,103508
0.008,7301,4627064,8112639,34403,309024
0.009,3700,1241998,8327356,31103,61704
0.01,2001,4675168,7003951,11201,282723
0.02,4400,3698492,7490190,35803,238919
0.03,3600,2779619,7853919,41803,169414
0.04,6000,952475,8940005,15901,62005
0.05,4401,170413,8695885,9901,14001
0.06,4301,4315940,6961148,13701,314625
0.07,4801,2504597,8077536,33803,167413
0.08,3901,2064562,7112660,32103,210916
0.09,3600,4614864,8366459,12101,343927
0.1,4600,1497018,8139741,18801,82707
0.2,4400,5048197,8279852,52304,271621
0.3,3800,4816780,8995509,17501,277022
0.4,4000,3628386,9854177,74906,192515
0.5,2700,3948911,9328335,62605,322826
0.6,3701,6143284,10674241,51704,389131
0.7,4000,318825,10281510,23702,22302
0.8,3800,455636,10530930,11901,37103
0.9,3500,2003258,10729646,18801,60405
1,2300,2538600,6844539,45004,186215
