 ,DA,SA,LL,TV,VEC
1e-05,560,780,5440,3880,300,
2e-05,400,640,6080,3680,480,
3e-05,420,560,3960,3800,340,
4e-05,340,320,4000,3760,240,
5e-05,480,380,5040,3500,340,
6e-05,420,440,4680,3700,400,
7e-05,460,440,3900,3760,340,
8e-05,320,300,4740,4240,260,
9e-05,380,360,3960,3540,340,
0.0001,320,240,3460,3520,220,
0.0002,380,420,3720,3960,320,
0.0003,340,420,4680,3480,380,
0.0004,500,480,4140,3860,300,
0.0005,460,380,4760,3800,320,
0.0006,380,300,5040,3680,300,
0.0007,540,340,4620,3860,420,
0.0008,460,560,5100,3720,380,
0.0009,500,420,4240,3640,240,
0.001,440,360,4400,3620,340,
0.002,620,420,4420,3780,420,
0.003,540,660,4820,3720,280,
0.004,540,820,3860,3920,540,
0.005,580,480,3640,3900,340,
0.006,720,540,4080,3660,300,
0.007,460,600,4140,3880,560,
0.008,980,300,3960,3720,280,
0.009,740,520,4360,3640,340,
0.01,580,420,3960,3580,420,
0.02,800,520,4760,3540,400,
0.03,780,480,3780,3680,500,
0.04,600,540,3880,3360,300,
0.05,700,360,5260,3320,300,
0.06,940,600,3720,3840,400,
0.07,900,360,5400,3500,300,
0.08,1040,500,3160,3760,360,
0.09,1040,360,4320,3400,280,
0.1,1000,280,5060,3460,320,
0.2,1100,340,4400,3460,340,
0.3,960,380,4320,3600,320,
0.4,1180,380,4820,3520,260,
0.5,1180,560,4040,3560,380,
0.6,1160,360,4440,3340,260,
0.7,1240,400,3840,4040,400,
0.8,1000,740,4320,3820,420,
0.9,1000,280,3560,3480,280,
1,1080,300,5280,3420,240,
