 ,DA,SA,LL,TV,VEC
1e-05,700,700,8000,2300,100
2e-05,800,200,5100,2500,100
3e-05,700,200,9201,3600,500
4e-05,200,200,12600,1600,100
5e-05,100,100,7100,1100,100
6e-05,700,200,13300,2200,100
7e-05,700,200,14101,1800,200
8e-05,1000,200,3300,2100,100
9e-05,500,100,1600,1200,100
0.0001,800,300,10800,1800,200
0.0002,900,300,15000,1600,200
0.0003,900,200,15501,2100,100
0.0004,1000,200,7000,1900,100
0.0005,1000,200,13000,2000,100
0.0006,1700,500,11700,1700,100
0.0007,1700,600,11101,1600,200
0.0008,900,200,7401,1500,400
0.0009,1300,300,15000,1501,100
0.001,1100,200,4600,2300,200
0.002,1900,100,11000,1700,0
0.003,900,100,7500,1200,100
0.004,1200,300,13600,1400,200
0.005,3000,200,14701,2300,300
0.006,1100,200,2500,1400,100
0.007,2100,200,7801,4100,200
0.008,2300,300,15000,3400,100
0.009,3400,200,7200,1400,0
0.01,2400,200,7700,4400,200
0.02,2100,200,16400,2000,600
0.03,1200,200,9500,2600,200
0.04,1600,200,6800,3000,200
0.05,2800,100,16200,1200,300
0.06,1400,300,4001,800,100
0.07,1900,200,7001,2300,100
0.08,3500,400,1400,900,200
0.09,3500,700,2500,2900,400
0.1,2100,300,9100,1000,300
0.2,2800,300,13600,1500,300
0.3,3300,100,2400,700,100
0.4,1500,200,7000,500,100
0.5,2700,1000,7800,800,100
0.6,2400,300,13801,1900,200
0.7,3100,600,13300,1500,100
0.8,1200,100,15201,900,200
0.9,2100,300,13200,1800,200
1,3100,200,3300,800,100
