 ,DA,SA,LL,TV,VEC
1e-05,2500,32001,18400,5300,147603
2e-05,1600,23301,15300,7200,143603
3e-05,2300,23001,9600,5600,169003
4e-05,1700,21000,8401,7600,137602
5e-05,1800,25300,14601,5000,134802
6e-05,2000,24000,9300,5200,137203
7e-05,1901,24300,11600,6100,132302
8e-05,2700,24601,12100,7000,144503
9e-05,1600,25401,8600,6000,139103
0.0001,1500,17800,5500,4200,56001
0.0002,2900,24701,13500,5100,136603
0.0003,2001,22900,10000,5700,142402
0.0004,2500,22500,10001,5500,149003
0.0005,2500,24700,14000,5500,129603
0.0006,1900,23500,15000,6301,139002
0.0007,3300,25000,16501,6700,151002
0.0008,3100,25301,9400,6200,143803
0.0009,2600,23600,10901,5400,145602
0.001,3200,24201,9300,6900,128602
0.002,3900,25200,15401,5300,146602
0.003,3100,24100,6700,6300,3958773
0.004,2700,23501,5800,6700,145103
0.005,2900,22200,5800,4700,138102
0.006,3200,24701,16300,4900,144902
0.007,2800,24800,5200,5300,142802
0.008,3300,26701,8900,6000,3911650
0.009,2900,24500,5400,5401,416307
0.01,2900,22401,13800,5500,144603
0.02,3600,22700,14900,6500,150303
0.03,3400,22301,5400,6300,148903
0.04,5201,23600,12100,5700,128201
0.05,3600,30400,17201,5400,3920271
0.06,5001,24000,10000,5500,3936773
0.07,3100,23400,8900,7501,1676621
0.08,4400,25301,17500,4900,147103
0.09,3900,22900,15400,6201,151302
0.1,4001,24800,12400,5000,144302
0.2,2800,24700,8300,5601,832615
0.3,4000,21200,13101,4500,147602
0.4,4300,22900,18701,5400,146602
0.5,4600,23800,9300,4400,144703
0.6,4000,23501,13300,5400,149402
0.7,3300,20901,7900,3600,3184558
0.8,4900,22700,10401,5100,4018474
