 ,DA,SA,LL,CBT,TV,VEC
0.001,529,225,318,4118,1157,614
0.002,535,246,319,4456,1101,558
0.003,261,241,638,3976,1357,281
0.004,334,215,276,4156,1150,535
0.005,593,213,293,4688,1113,542
0.006,543,235,305,4210,1115,530
0.007,572,214,281,4200,1094,557
0.008,296,226,562,8532,1423,293
0.009,302,514,613,20433,4180,617
0.01,717,236,321,4134,1161,571
0.02,582,233,302,4709,1095,553
0.03,636,247,277,4293,1109,524
0.04,336,258,547,4707,1421,279
0.05,344,229,629,4232,1334,279
0.06,384,223,296,4922,1107,607
0.07,377,235,281,8335,1159,560
0.08,1251,2599,450,7471,1265,651
0.09,481,524,607,4613,1377,289
0.1,418,488,548,4954,1425,293
0.2,550,236,354,12060,1502,298
0.3,450,247,305,4321,1109,623
0.4,476,244,339,8251,1195,329
0.5,551,226,4205,5111,1179,309
0.6,466,240,378,4234,1119,291
0.7,441,237,360,14903,4729,319
0.8,586,242,382,5758,1118,555
0.9,569,324,511,5084,1164,583
1,607,265,403,6228,2017,311
