 ,DA,SA,LL,CBT,TV,VEC
0.001,793,330,435,7471,1517,873
0.002,846,314,362,5773,1468,826
0.003,769,250,341,7271,1451,760
0.004,887,339,375,7091,1436,1352
0.005,4047,312,516,11448,1445,895
0.006,886,259,369,4750,1177,850
0.007,784,251,368,6286,1219,620
0.008,1041,309,517,9806,5567,845
0.009,1015,802,2117,8324,3148,823
0.01,493,673,1029,7128,2162,405
0.02,535,326,885,5890,2161,433
0.03,899,320,506,6331,2274,452
0.04,1078,272,411,6793,1622,865
0.05,611,299,393,5886,1856,437
0.06,1141,344,410,6953,1490,873
0.07,1167,398,1617,5979,1966,426
0.08,767,278,970,6288,2216,480
0.09,673,767,757,6505,1892,423
0.1,1054,301,392,6364,1388,896
0.2,609,253,365,4393,1521,300
0.3,842,444,443,8291,1466,904
0.4,661,229,3337,8282,1762,480
0.5,786,384,1097,5313,1897,410
0.6,687,277,4552,5109,1213,595
0.7,516,244,3126,4437,1177,602
0.8,482,259,429,4703,1232,394
0.9,791,305,780,5189,1595,292
1,516,256,404,5035,3925,746
