 ,DA,SA,LL,CBT,TV,VEC
0.001,326,612,734,6060,1773,346
0.002,710,291,422,5037,1415,696
0.003,687,263,391,7022,1391,660
0.004,606,277,369,5300,1359,635
0.005,647,263,381,5529,1363,668
0.006,314,320,721,4756,1704,342
0.007,346,280,413,5616,1355,656
0.008,682,271,355,5348,1352,656
0.009,642,262,358,5016,1353,647
0.01,739,263,340,5470,1364,655
0.02,400,285,753,4972,1684,345
0.03,386,284,375,5609,1368,633
0.04,753,267,391,6462,1388,689
0.05,993,306,417,6680,1595,768
0.06,1548,315,635,6873,1752,821
0.07,484,297,656,4369,1473,298
0.08,729,237,331,4635,1187,571
0.09,420,246,751,4194,1469,298
0.1,422,252,667,4485,1490,297
0.2,424,233,316,4210,1383,286
0.3,452,219,340,4687,1113,287
0.4,812,270,507,5074,1206,849
0.5,519,237,347,4172,1137,480
0.6,422,220,337,4654,1097,636
0.7,535,242,441,3789,1117,667
0.8,534,234,479,4054,1137,320
0.9,473,231,400,3822,1106,629
1,10171,273,3901,5629,6141,4672
