 ,DA,SA,LL,CBT,TV,VEC
0.001,309,223,307,4925,1109,556
0.002,569,231,304,5343,1176,605
0.003,509,221,304,8430,1181,569
0.004,561,213,292,4133,1106,576
0.005,256,525,544,8840,1515,285
0.006,257,500,476,4133,1378,278
0.007,268,530,613,5105,4144,280
0.008,261,561,511,4086,1317,278
0.009,280,515,560,3962,4207,275
0.01,259,446,572,3658,1374,275
0.02,374,270,766,5195,1741,350
0.03,389,597,589,4699,1801,420
0.04,915,360,361,5837,1484,865
0.05,780,315,310,4291,1190,853
0.06,408,215,360,10957,1451,282
0.07,567,570,744,5739,1672,378
0.08,497,489,576,8453,1471,292
0.09,419,230,673,4195,1384,284
0.1,715,231,309,4173,1106,496
0.2,436,244,350,4783,1123,290
0.3,505,250,345,4340,1128,500
0.4,1178,2794,476,5712,1482,831
0.5,606,283,4895,5046,1526,307
0.6,471,239,6063,5415,1297,402
0.7,773,237,378,9554,1202,578
0.8,4230,342,5164,6208,2061,420
0.9,568,249,417,8308,1164,604
1,499,231,364,4448,1111,481
