 ,DA,SA,LL,TV,VEC,CBT
1e-05,500,21200,436508,10400,23801,1000
2e-05,300,10501,369807,11100,10300,1600
3e-05,400,1100,353807,4600,1400,1000
4e-05,500,14700,394507,8601,13900,1400
5e-05,500,26301,371607,13700,26101,1900
6e-05,500,16400,378807,7400,12301,1200
7e-05,400,19401,358606,15001,11900,1400
8e-05,500,14700,357107,9300,9600,1400
9e-05,1300,1900,356407,9100,2200,1500
0.0001,700,1300,353407,5000,1600,1200
0.0002,600,700,362007,3100,800,1400
0.0003,700,21100,368407,11700,21301,2600
0.0004,1100,12800,462309,12100,13401,3100
0.0005,1400,18400,354407,15400,11801,1300
0.0006,900,3401,364706,14700,3200,1601
0.0007,1600,37401,369507,10600,34501,1100
0.0008,1200,8800,429309,15800,8400,1600
0.0009,1900,31200,500210,21400,25901,1900
0.001,1000,800,366207,2700,1000,2200
0.002,1200,36701,367307,8200,33001,2900
0.003,1500,9700,364507,11800,7200,1600
0.004,1300,34301,547511,22400,34601,2500
0.005,1300,31101,383107,13500,28501,2100
0.006,2000,21001,364807,19200,22001,2500
0.007,1800,22801,555610,22600,22100,1601
0.008,4700,14801,613811,26200,14500,2501
0.009,2600,14400,587312,15100,14900,1700
0.01,2200,21600,385408,10600,19400,2400
0.02,2000,5300,385107,21201,5000,3000
0.03,3200,14500,651713,16900,16000,2600
0.04,2000,12500,442809,14600,12500,1300
0.05,1700,27501,488809,12000,27601,1700
0.06,1600,9600,450309,18000,10200,2000
0.07,1700,1300,383607,2200,1800,1500
0.08,2800,3100,659812,19601,3900,1800
0.09,1900,32201,708714,3300,27200,1500
0.1,2600,25601,615112,6000,28000,2100
0.2,2600,38101,859917,6600,39101,1600
0.3,3600,34801,1288525,8800,35701,2600
0.4,1500,28600,919018,17700,26801,1500
0.5,2000,9101,912517,20801,9400,1600
0.6,2200,26600,753014,3500,25700,1401
0.7,1100,13600,1004220,18900,13500,1700
0.8,1500,9900,1197122,14601,8600,1900
0.9,1900,41600,811411,4600,39500,1900
1,2600,2200,1302324,9400,2500,2300
