 ,DA,SA,LL,TV,VEC,CBT
1e-05,600,4600,491510,6000,2900,1400
2e-05,500,19100,394807,8400,21000,1100
3e-05,400,34401,361906,6601,31700,1200
4e-05,400,21800,361107,4800,12300,1100
5e-05,400,13300,356307,9600,13200,1100
6e-05,500,3500,363107,7800,4100,1000
7e-05,400,5601,363306,13601,5100,1500
8e-05,400,10200,356607,7500,9901,800
9e-05,600,5501,356206,8601,5600,1600
0.0001,400,17801,356106,5900,15501,1300
0.0002,1100,10300,356907,9300,10700,1100
0.0003,500,2800,358307,9800,3000,1600
0.0004,1100,16400,547511,10100,15700,2700
0.0005,700,35301,360407,5000,32300,3000
0.0006,800,27700,365707,13701,23800,1700
0.0007,2000,34501,598011,15501,33400,2000
0.0008,900,37301,522610,19200,33801,1600
0.0009,800,12001,360506,11501,11200,2100
0.001,3001,16500,546110,15000,15201,2400
0.002,1300,5800,482809,15100,6500,1300
0.003,1300,16201,366507,13800,12500,1500
0.004,1100,32301,379307,6400,27100,1500
0.005,1400,32701,373107,1500,28300,1400
0.006,1700,800,570910,3301,1400,1500
0.007,1600,33301,424808,17500,31001,2700
0.008,1500,45001,621211,1301,46100,900
0.009,2100,32901,614311,22401,32800,2400
0.01,1500,5700,363707,15000,3200,2100
0.02,2000,1400,392308,8100,1600,2400
0.03,2900,3000,581911,10700,3000,2000
0.04,1500,16001,659512,17501,17100,2100
0.05,1800,19600,391907,13400,25900,1500
0.06,2000,20300,541510,15400,17900,2801
0.07,1700,16400,388808,25300,13001,1700
0.08,1200,31800,405608,17201,37800,1500
0.09,1400,25200,513210,20400,25101,1300
0.1,1900,1400,416908,3700,2600,1800
0.2,900,2700,475709,10600,2900,2501
0.3,1000,30100,536211,2100,26200,2500
0.4,1800,27301,521307,16700,28501,1200
0.5,2200,17700,793315,20301,18100,1500
0.6,1400,31601,606911,9200,28801,1800
0.7,2100,26100,776114,21801,27600,1900
0.8,3800,16100,1997938,24501,20000,2500
0.9,2000,23100,2154041,28701,24500,1900
1,1300,30101,785315,22100,27101,2000
