 ,DA,SA,LL,TV,VEC,CBT
1e-05,1000,4900,596912,8400,3200,1900
2e-05,500,37601,357006,1900,34801,1100
3e-05,600,38101,398907,2000,35701,1500
4e-05,400,18201,357407,4800,16800,1400
5e-05,500,1100,358507,4300,1100,1400
6e-05,600,22800,373607,17201,17700,1800
7e-05,700,22500,376107,22301,21400,2300
8e-05,1300,40000,597312,22200,38701,2200
9e-05,600,32600,362707,17801,28500,1700
0.0001,700,2900,413208,8000,2300,2200
0.0002,1200,32200,516210,13801,29400,1400
0.0003,1000,23501,361406,16400,14300,1901
0.0004,900,14200,367407,16400,16100,2000
0.0005,1201,39400,434808,5400,39701,2400
0.0006,1600,6500,479209,10101,7400,1400
0.0007,900,21001,359407,11600,19300,2300
0.0008,700,27800,361806,10901,21700,2100
0.0009,1500,39601,623912,20800,38201,1900
0.001,1000,6200,384907,20801,4500,2200
0.002,1100,34301,379507,10800,36701,1700
0.003,2100,27001,527710,17800,27801,1300
0.004,2500,19500,509910,15300,21100,1400
0.005,1200,23100,356407,10100,14500,1500
0.006,1500,40501,446609,4700,40101,1200
0.007,1300,30801,371007,10900,28201,1400
0.008,1600,7300,364807,19001,4600,1400
0.009,1300,13200,555311,18900,12300,2600
0.01,2000,12201,656612,15501,15100,2500
0.02,1500,33201,371007,1100,30901,1100
0.03,1400,8700,388008,8200,8700,1700
0.04,2400,27700,576611,3700,26401,1800
0.05,2500,25301,492909,3700,27701,2500
0.06,2600,14201,747014,17500,15501,2000
0.07,2700,32501,440208,3901,26600,1500
0.08,1100,17400,560011,7300,17000,1600
0.09,1500,8400,407508,14400,6300,3700
0.1,1000,20201,444808,3000,21001,1400
0.2,1600,19200,422607,7301,16700,2200
0.3,1400,14800,485810,11400,12100,1600
0.4,1500,34301,529210,1700,31400,1900
0.5,1400,17400,588411,9400,16201,1300
0.6,2000,22100,787315,3000,19501,2700
0.7,1200,800,657513,2600,1200,1100
0.8,1700,6700,912118,22300,6600,1600
0.9,1500,8200,732014,11501,6400,2300
1,3500,8900,794416,9600,8900,2600
