 ,DA,SA,LL,TV,VEC,CBT
1e-05,500,22001,537210,8400,21501,1700
2e-05,400,10701,359506,8301,8900,1000
3e-05,500,3001,371607,8300,2200,1800
4e-05,600,16800,356407,10400,21701,1500
5e-05,400,11500,355907,10800,14800,1200
6e-05,600,11900,356207,9000,13300,1100
7e-05,500,4500,362407,14900,5000,1500
8e-05,600,12500,369107,17800,14700,1200
9e-05,600,20000,358707,5500,22601,1600
0.0001,600,7300,356507,15801,8600,1400
0.0002,600,1400,358507,5300,1500,1100
0.0003,1400,26700,459309,19300,28501,3200
0.0004,1200,1900,366207,3900,2100,2001
0.0005,2100,2400,499009,9900,4501,2700
0.0006,1400,1700,525210,4200,3400,2400
0.0007,1700,4700,584811,11701,6300,2600
0.0008,1700,2200,631712,5300,2100,2400
0.0009,2300,24500,633712,22500,24300,2901
0.001,2100,10701,372607,14400,8400,1900
0.002,2100,16401,710213,20201,18100,2600
0.003,1500,2100,366007,7900,1800,2300
0.004,1200,41301,644612,16901,40300,2500
0.005,1200,5300,379308,12000,4000,1500
0.006,1600,41000,592212,13000,39801,1800
0.007,2700,14400,360505,11600,14800,1400
0.008,1800,1100,574107,6400,1600,1400
0.009,2500,10300,428705,14500,9200,1500
0.01,1200,30201,370904,700,28301,1000
0.02,1500,6001,379607,14100,5900,1900
0.03,3100,9400,639212,17701,8700,3300
0.04,1600,21101,379607,10901,22200,1400
0.05,2300,9201,375611,7201,10500,1500
0.06,2300,25000,417108,5200,23501,2200
0.07,2500,21401,689613,23900,20800,2100
0.08,1100,12500,388708,12800,11000,1500
0.09,1000,11101,408208,14500,8800,2700
0.1,2200,12500,714814,18501,13100,1600
0.2,3600,32101,865917,18900,35801,2900
0.3,1200,7600,479509,17301,7200,1800
0.4,1000,3300,701309,16600,5200,1100
0.5,1700,12601,1350926,19900,10500,2400
0.6,1900,43301,1272924,11401,43700,1500
0.7,2100,22801,682513,27501,20200,1800
0.8,2600,26300,2110240,17701,28300,2100
0.9,1400,8000,762615,18200,9700,1400
1,3000,13600,1086121,19000,13801,1300
