 ,DA,SA,LL,TV,VEC,CBT
1e-05,1700,42400,567111,2900,44901,1100
2e-05,300,27801,400607,6101,25300,1400
3e-05,400,2400,356707,9700,5300,1400
4e-05,500,4400,356407,17800,5900,1500
5e-05,300,10100,369307,9400,10601,2300
6e-05,400,27100,361607,12000,17501,1400
7e-05,1000,36800,600412,25400,34701,2000
8e-05,1801,11400,592111,12600,10100,1600
9e-05,900,31900,366507,11201,31300,1900
0.0001,900,11900,356807,20200,14400,1900
0.0002,1600,32501,382407,15701,33200,3300
0.0003,2100,34400,602112,20900,32601,3400
0.0004,1600,19800,362507,11600,16501,2400
0.0005,1100,11000,359507,17100,9401,3400
0.0006,1500,7600,373007,10400,7800,2700
0.0007,1800,4600,357107,9500,4000,1400
0.0008,900,18100,358107,9700,15300,1200
0.0009,1300,32701,443708,16801,29600,1200
0.001,1100,13900,466009,15400,12100,1700
0.002,1100,15000,414708,12101,13200,1600
0.003,1000,30200,360107,7600,27901,1400
0.004,1200,4000,357707,11500,3200,1600
0.005,1700,4201,545110,11900,7100,1300
0.006,1100,14700,385607,10500,14001,1400
0.007,1500,22201,514810,12800,22600,1700
0.008,2300,32501,366807,22900,34601,1700
0.009,1200,13201,427808,12700,10900,1600
0.01,1800,13800,361007,16101,13100,1600
0.02,2700,14700,614813,22700,16000,4000
0.03,3100,16201,498309,17700,15601,3400
0.04,2000,33701,378407,1200,31301,2000
0.05,2600,12300,537110,14001,12200,1400
0.06,2100,6300,389908,13100,6300,1700
0.07,2700,35901,651112,17601,32300,2400
0.08,2300,3000,566011,11900,3400,1500
0.09,2000,13400,409908,16901,14100,1600
0.1,2300,11000,400708,22100,11500,1900
0.2,1800,33901,471009,5600,36501,1400
0.3,900,7800,476709,16301,8500,1400
0.4,1600,9900,530610,19400,13401,2500
0.5,2200,31301,586911,8900,24801,1700
0.6,2100,2700,737514,20201,3500,2200
0.7,1400,9700,667813,9600,8900,1300
0.8,2400,22901,866416,20201,23500,1600
0.9,2100,7200,742814,12800,7201,2700
1,1900,5400,773615,11500,6700,1400
