 ,DA,SA,LL,TV,VEC,CBT
1e-05,600,49701,594512,4800,41201,1400
2e-05,1200,3900,382507,12801,6100,1800
3e-05,300,5300,356607,15400,4100,2600
4e-05,500,8700,357007,16600,6200,1800
5e-05,400,4800,355907,12800,5900,1100
6e-05,300,1400,359906,5700,1600,2101
7e-05,2000,27400,600512,8100,25601,1500
8e-05,800,20200,539111,22400,16800,1300
9e-05,600,25501,372307,16900,23201,1900
0.0001,600,15601,359507,12400,10000,1300
0.0002,1200,11800,367708,18700,8200,1500
0.0003,1500,23900,358907,15701,21400,1800
0.0004,1000,5000,375107,14700,3400,2500
0.0005,1800,15001,581411,15200,13801,2800
0.0006,1500,27501,544610,8200,24601,1500
0.0007,1400,27301,602211,17100,26101,2200
0.0008,1900,23500,365307,9601,19400,3300
0.0009,1100,17700,363407,20101,17000,1900
0.001,1300,7800,438409,12400,7000,3100
0.002,2200,40601,577611,7600,38801,1500
0.003,2600,27701,550610,28601,26001,1700
0.004,1500,33900,564811,22501,31700,2900
0.005,2700,14400,568811,15501,11400,2400
0.006,1600,43001,611712,20200,40001,1800
0.007,1600,32200,400908,2900,35801,1700
0.008,2100,30100,617912,13000,32701,1500
0.009,1600,41901,496010,3300,58501,1100
0.01,1700,7501,366507,9400,7000,2900
0.02,2400,5300,534310,17900,6500,1900
0.03,2100,19101,375307,9200,11400,1600
0.04,4200,11600,531810,17400,14101,1600
0.05,1800,5500,388108,15800,6000,1700
0.06,1400,900,435409,3200,900,1800
0.07,2000,2600,402208,11900,2600,1800
0.08,1600,2900,653812,4401,2400,1700
0.09,1700,16800,406808,6900,16600,1800
0.1,2100,26200,420708,9300,17201,1700
0.2,1400,13900,631012,16900,12401,1500
0.3,2800,10500,1298225,17300,11201,2000
0.4,1800,28101,726314,33100,25901,1800
0.5,2000,20000,951819,19600,21000,2900
0.6,1600,18000,629013,7500,16900,1500
0.7,1900,18200,904017,14701,21400,1900
0.8,1400,300,692313,700,500,1600
0.9,1700,3200,841016,14200,5700,1800
1,1800,27200,2350445,4700,25501,2200
