 ,DA,SA,LL,TV,VEC
1e-05,6700,3586761,7026999,12187623,3439029,
2e-05,2650,2270632,5062412,12474617,3456019,
3e-05,2800,2313052,4889369,12370425,3423798,
4e-05,2920,2340503,5570029,11828728,3314726,
5e-05,2920,2335973,4812728,11895568,3288396,
6e-05,3330,2349503,4960870,11683375,3359277,
7e-05,3260,2300202,4942420,11734106,3267316,
8e-05,2970,2670668,5864733,12225253,3187915,
9e-05,3060,2319802,4771727,11602754,3099763,
0.0001,3400,2271792,5012921,11513743,3098944,
0.0002,3390,2748327,5252832,11350095,3063662,
0.0003,3730,2331942,5087830,12143427,3039341,
0.0004,3930,2337642,4863026,11281574,3104722,
0.0005,3830,2323172,4815456,11412796,3063952,
0.0006,4380,2356072,4755175,11287664,3132813,
0.0007,4840,2328663,4643746,11482443,3170865,
0.0008,4150,2333623,4639946,11364412,3040923,
0.0009,5070,2297692,4710307,11292951,3238096,
0.001,5030,2339383,4669436,11394462,3171835,
0.002,5670,2343743,4581485,11328041,3623612,
0.003,5870,2339283,4707287,11353762,3085534,
0.004,6050,2811090,4940461,11430635,3064774,
0.005,6070,2317322,4615484,11313916,3028452,
0.006,6070,2339313,4668486,11389112,3047703,
0.007,6480,2347153,4716027,11348312,3052723,
0.008,6670,2361233,4691056,11436962,3075873,
0.009,7100,2344873,4694378,11340154,3461950,
0.01,7470,2639957,4601735,11354302,3144274,
0.02,8890,2382959,4612876,11333127,3052870,
0.03,11570,2375863,4866979,11763838,3964946,
0.04,23630,2390264,4601275,11864008,3139984,
0.05,36780,2364943,4573545,12302185,3280176,
0.06,38860,2342733,4682096,11372302,3117894,
0.07,44620,2345852,4650363,11385123,3064094,
0.08,51830,2409414,5193164,11372212,3058303,
0.09,57850,2312773,4704677,11395962,3139824,
0.1,59751,2372933,4733167,11515983,3044923,
0.2,57620,2353203,4672166,11421112,3042763,
