 ,DA,SA,LL,TV,VEC
1e-05,1400,6601,2600,5500,1100
2e-05,1600,1600,10900,4200,2100
3e-05,1400,2200,6100,4400,1200
4e-05,1500,1800,16701,4000,1400
5e-05,2400,2100,11900,5800,1200
6e-05,2200,2100,18900,4600,1000
7e-05,1600,3900,5301,4800,1600
8e-05,3000,2200,17200,4200,1300
9e-05,3200,2000,9400,4600,1300
0.0001,1700,1400,7700,4100,1600
0.0002,3201,2700,9600,4400,1300
0.0003,2800,2300,4900,5300,1800
0.0004,1900,2500,19901,5300,1500
0.0005,2400,1800,5700,4400,1300
0.0006,1800,4600,16200,5800,1400
0.0007,2700,2200,15300,4700,1700
0.0008,2000,2200,17701,5400,1300
0.0009,1800,1900,6600,4400,1300
0.001,2400,2000,9200,5300,1500
0.002,3900,2300,3700,5100,1700
0.003,2900,2400,9100,4400,1000
0.004,3001,2500,8300,4900,1000
0.005,2800,2100,12800,4800,1200
0.006,4801,2300,18400,6500,1300
0.007,2601,2800,16200,4500,1500
0.008,2600,1900,16100,5101,1200
0.009,4700,2000,2200,4400,1600
0.01,3600,2300,8501,4600,1400
0.02,4500,2600,15300,4100,1200
0.03,2600,2600,7300,4301,1900
0.04,4100,2200,6100,4700,1400
0.05,2700,2800,3400,4100,1600
0.06,3500,2800,15100,4200,1600
0.07,3701,1800,6000,4500,1400
0.08,4500,2200,10600,4600,1600
0.09,4700,2200,10900,5000,1300
0.1,3000,2300,19500,4200,1100
0.2,3100,3300,7900,5400,1500
