 ,DA,SA,LL,TV,VEC
1e-05,370,150,1670,800,210,
2e-05,410,90,1650,870,100,
3e-05,360,150,1590,690,90,
4e-05,310,120,1770,560,80,
5e-05,240,40,2020,520,50,
6e-05,200,110,1160,470,80,
7e-05,320,130,1400,500,100,
8e-05,410,90,1720,530,60,
9e-05,290,100,2020,550,70,
0.0001,350,120,1860,510,70,
0.0002,530,80,1830,770,90,
0.0003,460,80,2000,610,80,
0.0004,580,110,1190,490,110,
0.0005,600,120,1320,680,210,
0.0006,830,210,1630,660,120,
0.0007,880,140,1400,670,110,
0.0008,850,80,2230,680,220,
0.0009,630,170,1960,560,100,
0.001,730,90,1760,520,90,
0.002,960,210,1270,590,110,
0.003,990,150,2050,660,170,
0.004,950,150,1490,630,150,
0.005,990,110,1190,790,100,
0.006,820,120,1340,590,90,
0.007,900,170,1280,920,110,
0.008,730,130,1280,710,90,
0.009,1020,150,1760,600,50,
0.01,970,170,1600,510,140,
0.02,860,220,1720,630,60,
0.03,870,100,2180,430,60,
0.04,910,130,3260,610,100,
0.05,940,120,2150,520,90,
0.06,960,140,1820,470,90,
0.07,820,150,1920,410,110,
0.08,1030,150,1430,480,90,
0.09,1030,150,1760,610,100,
0.1,1190,140,1140,470,120,
0.2,1190,150,1210,550,80,
0.3,1110,110,1860,470,100,
0.4,1070,130,1440,470,110,
0.5,1060,100,2270,500,120,
0.6,920,140,2260,560,190,
0.7,840,90,2010,490,150,
0.8,1070,200,1610,500,90,
0.9,910,100,1860,430,90,
1,1120,100,1310,630,90,
