 ,DA,SA,LL,TV,VEC
1e-05,12401,11348462,28352504,25122859,7214203
2e-05,5600,4618766,9509035,24580451,7201403
3e-05,5700,4599265,10177443,23770435,7209002
4e-05,6300,4424963,9184729,24529646,7466805
5e-05,8901,5742080,10024941,23707534,7300503
6e-05,8401,4732066,9335031,24737049,7197301
7e-05,7200,4715266,10301445,23721135,7325003
8e-05,5100,4230360,9500234,23730834,7220802
9e-05,6500,4695966,9215330,24611447,6685294
0.0001,7100,4721166,10415647,23655933,6655294
0.0002,7200,4667666,9632736,22575118,6061885
0.0003,7000,4408063,9393632,22575018,6068086
0.0004,7501,4739466,9587135,22587718,6206287
0.0005,7300,4684766,9269031,22692519,6093286
0.0006,8800,4686966,9676236,22645619,6049686
0.0007,9300,4719967,9016829,22605422,6061186
0.0008,8900,4744168,8992628,23434734,6131287
0.0009,11300,4640666,9381834,22613022,6044686
0.001,8300,4731568,9072629,23285831,6151088
0.002,11200,4779268,9296133,22721425,6069686
0.003,12000,4528365,9148231,22701224,6167388
0.004,13800,4454864,9535536,22669824,6129287
0.005,12000,4745468,8992928,22594823,6050386
0.006,13900,4626066,9268734,22699728,6096387
0.007,11300,4602666,9361634,22687324,6065087
0.008,12600,4529564,9318033,22778626,6071086
0.009,12401,4711667,9132430,22676925,6081587
0.01,14901,4744467,8931727,22745025,6121287
0.02,17400,4673466,9109830,22652524,6135987
0.03,24200,4586866,9122131,23459836,6053586
0.04,61400,4636564,9047625,22784915,6054383
0.05,69501,4879269,9010027,22730221,6138687
0.06,77301,4904669,9010627,22721721,6350590
0.07,82001,4794268,9159930,22651822,6043886
0.08,103401,4880869,9629237,22762124,6167888
0.09,114001,4647166,9284932,22737424,6935399
0.1,124402,4812068,9176931,22665422,6032286
0.2,107702,4754968,9264031,22876026,6116687
