 ,DA,SA,LL,TV,VEC
1e-05,500,600,3000,3400,1200
2e-05,1300,1200,2900,4000,900
3e-05,700,1300,17001,5000,600
4e-05,1500,600,13400,3700,1100
5e-05,600,500,14200,2800,1000
6e-05,800,600,8200,3200,1100
7e-05,600,600,18500,3000,500
8e-05,800,600,8900,4501,1200
9e-05,800,600,17500,4900,900
0.0001,1000,800,16800,3300,700
0.0002,800,700,8300,3100,900
0.0003,1000,1600,17800,5400,1000
0.0004,1300,600,14900,4800,1000
0.0005,1100,1100,13200,4801,700
0.0006,1200,1200,2600,3800,800
0.0007,1100,600,9500,3100,1500
0.0008,800,600,9100,3200,1000
0.0009,1000,1000,4000,4600,900
0.001,1200,600,11100,3400,900
0.002,1400,1100,18000,3600,1000
0.003,1100,600,14401,3300,900
0.004,1100,500,5200,2800,900
0.005,1100,600,14500,4301,900
0.006,1000,600,5800,3600,1100
0.007,1300,500,12300,3000,1400
0.008,900,600,9501,3100,1000
0.009,1400,1301,8300,3100,1200
0.01,1100,1600,11200,4200,1000
0.02,1100,600,2900,3400,900
0.03,1300,700,9700,3600,900
0.04,1100,500,8700,2400,1000
0.05,1300,1200,12100,5200,1000
0.06,1100,600,3800,2400,800
0.07,1000,600,18400,2700,1000
0.08,1100,600,6300,2400,1300
0.09,1100,600,17200,5000,900
0.1,1400,600,14700,2900,1400
0.2,1200,600,12200,2800,1500
