 ,DA,SA,LL,TV,VEC
1e-05,700,300,4700,1700,200
2e-05,700,200,1700,2700,300
3e-05,600,100,3800,1600,300
4e-05,600,100,6100,1100,0
5e-05,600,200,4600,900,200
6e-05,400,200,1900,600,300
7e-05,800,300,2200,1400,200
8e-05,400,100,3300,1000,200
9e-05,600,200,3600,1100,100
0.0001,1000,200,2400,900,100
0.0002,1100,100,1600,1200,201
0.0003,1000,100,5800,1100,300
0.0004,1500,200,1400,1000,300
0.0005,1000,100,3001,2300,400
0.0006,1500,400,2900,1800,200
0.0007,800,600,2200,1400,700
0.0008,2000,200,5200,1200,900
0.0009,1600,200,4200,1800,200
0.001,1500,100,3200,800,300
0.002,2000,600,3200,1100,100
0.003,1400,100,5500,900,200
0.004,700,300,800,800,700
0.005,1800,100,3200,900,200
0.006,1300,100,2400,1000,200
0.007,1500,100,2900,1000,400
0.008,1000,100,1300,1000,300
0.009,1800,100,2700,1200,100
0.01,1700,100,3600,900,100
0.02,1700,200,3000,1700,0
0.03,2300,200,4300,900,0
0.04,1800,100,20100,1600,100
0.05,2600,400,2500,1000,100
0.06,1600,300,1500,1300,400
0.07,1800,200,2800,1000,100
0.08,1900,500,4900,1100,100
0.09,2000,100,4400,1000,100
0.1,2100,200,3900,800,100
0.2,2100,700,1500,800,200
0.3,2000,300,4800,1100,100
0.4,2000,200,2300,900,300
0.5,3400,200,4100,900,200
0.6,1800,100,2500,800,100
0.7,1700,100,5701,800,300
0.8,1800,200,3900,1300,300
0.9,1500,200,3700,800,200
1,2100,200,3200,1000,100
