 ,DA,SA,LL,TV,VEC
1e-05,600,300,6901,1900,300
2e-05,600,100,6300,2700,100
3e-05,200,100,11600,400,100
4e-05,700,300,2501,1900,100
5e-05,501,200,6000,1500,200
6e-05,700,300,1000,2300,300
7e-05,600,200,14100,1200,300
8e-05,600,200,4500,1400,200
9e-05,700,300,10000,2100,200
0.0001,400,200,5600,1500,200
0.0002,600,200,15700,1100,100
0.0003,401,200,11700,1300,200
0.0004,700,200,7200,1300,100
0.0005,1100,200,7400,2100,800
0.0006,1400,300,8900,1400,100
0.0007,600,300,8700,2900,200
0.0008,800,200,14400,1900,100
0.0009,1000,200,13100,1200,100
0.001,1400,700,3200,1300,100
0.002,2100,400,16401,1500,100
0.003,3201,200,6200,1400,300
0.004,2400,200,10200,1600,100
0.005,2000,300,9100,1000,100
0.006,1200,200,13100,1100,100
0.007,900,300,13701,1400,100
0.008,3500,300,10700,1300,200
0.009,1700,300,12000,1600,100
0.01,2600,300,3800,1900,100
0.02,2500,300,3700,1700,100
0.03,1300,300,6600,900,300
0.04,2000,200,4900,1200,300
0.05,1800,800,14300,800,0
0.06,3400,300,6400,1500,200
0.07,2400,800,10700,800,800
0.08,1800,300,6500,1000,100
0.09,1500,100,15601,600,100
0.1,1500,100,5300,900,300
0.2,3200,500,16400,1100,200
0.3,1600,400,14600,800,300
0.4,2400,300,15700,1100,300
0.5,3700,200,9200,1100,300
0.6,2900,300,13100,1400,200
0.7,3500,300,7500,900,100
0.8,2800,200,15000,2300,100
0.9,1900,300,14800,1600,200
1,1500,200,15601,900,100
