 ,DA,SA,LL,TV,VEC
1e-05,601,300,15800,3400,200
2e-05,700,200,5500,1400,200
3e-05,400,300,13400,1100,200
4e-05,400,300,9000,1500,1200
5e-05,900,700,8200,1500,100
6e-05,400,300,7600,1400,300
7e-05,700,300,6200,1000,300
8e-05,100,200,6900,700,100
9e-05,400,600,11300,1200,100
0.0001,600,200,6000,1300,400
0.0002,800,500,1200,1500,200
0.0003,700,200,8700,1400,100
0.0004,1200,200,1800,1800,200
0.0005,1700,300,11000,2100,200
0.0006,900,300,14900,1500,200
0.0007,1800,700,6600,2000,101
0.0008,900,300,6800,2700,500
0.0009,700,300,11000,2300,100
0.001,1900,300,10000,2600,200
0.002,1800,300,12800,1900,100
0.003,2100,200,13000,1800,200
0.004,1600,300,7901,1700,200
0.005,3800,200,10900,1400,0
0.006,3000,300,14300,2800,100
0.007,1000,300,13301,1500,100
0.008,2800,400,13400,1500,500
0.009,2200,300,16100,1400,200
0.01,2800,300,12900,1100,0
0.02,2700,800,14800,1400,200
0.03,2200,900,15200,800,100
0.04,2000,100,5000,1600,100
0.05,2300,200,3800,600,100
0.06,2800,400,8200,900,200
0.07,2300,800,8000,900,200
0.08,2401,500,8500,600,200
0.09,2000,300,18700,1300,200
0.1,2100,300,6701,900,100
0.2,1700,300,14401,1100,200
0.3,1300,200,6700,600,300
0.4,2000,300,13100,1200,300
0.5,1600,200,7701,1300,200
0.6,1700,700,7801,1200,300
0.7,3700,300,15001,1200,100
0.8,1200,100,10100,800,100
0.9,3000,300,5600,1400,200
1,1900,100,400,900,100
