 ,DA,SA,LL,TV,VEC
1e-05,700,430,10625,2100,220,
2e-05,615,275,6740,1450,170,
3e-05,560,270,8130,2145,240,
4e-05,635,250,7365,1785,285,
5e-05,665,300,9695,1565,205,
6e-05,760,290,7720,1910,305,
7e-05,530,230,7815,1260,230,
8e-05,685,260,9405,1860,240,
9e-05,565,275,8900,1590,185,
0.0001,630,335,9005,1715,235,
0.0002,795,325,8115,1790,245,
0.0003,755,290,9500,1780,245,
0.0004,790,235,7435,2155,185,
0.0005,955,265,7715,1935,210,
0.0006,875,340,9325,2475,185,
0.0007,995,325,9815,1715,225,
0.0008,950,240,9120,1710,255,
0.0009,880,275,9400,1925,210,
0.001,1180,290,8560,1850,205,
0.002,1745,245,9815,1760,205,
0.003,1825,275,8740,1725,220,
0.004,1955,335,10370,1825,290,
0.005,2080,265,9685,1920,160,
0.006,1925,260,10875,1900,145,
0.007,2230,310,8425,1795,230,
0.008,2290,290,8725,1590,215,
0.009,2015,285,8400,1670,150,
0.01,2225,295,8620,1685,175,
0.02,2230,360,8825,1735,190,
0.03,2075,340,7755,1345,240,
0.04,2030,310,7490,1440,255,
0.05,2180,300,11565,1200,225,
0.06,2305,320,9805,1205,235,
0.07,2060,325,8755,1140,305,
0.08,2195,340,8615,1245,215,
0.09,2195,310,11810,1135,175,
0.1,2270,365,8000,1295,230,
0.2,2275,410,9550,1200,200,
0.3,2430,345,9925,1275,205,
0.4,2255,240,10545,1255,240,
0.5,2485,355,9420,1290,215,
0.6,2380,280,8980,1215,245,
0.7,2630,285,11505,1230,285,
0.8,2365,385,9360,1350,195,
0.9,2560,370,10380,1180,225,
1,2175,370,9255,1220,215,
