 ,DA,SA,LL,CBT,TV,VEC
1e-05,2953,64615,232463,750,5315,522284,
2e-05,516,58674,177431,798,6338,205373,
3e-05,452,56689,183450,682,6251,4456,
4e-05,1016,58214,158445,700,4263,3384,
5e-05,590,52260,177163,621,4825,2846,
6e-05,872,93064,180147,594,3103,5627,
7e-05,619,90003,238840,1227,6104,6562,
8e-05,965,55319,158391,671,4758,2983,
9e-05,746,31350,172435,767,3556,1713,
0.0001,1590,63403,195394,788,5696,6012,
0.0002,655,79479,204837,644,5421,4329,
0.0003,653,92431,184051,2250,4627,4944,
0.0004,617,53333,188015,486,4305,2728,
0.0005,997,41154,180452,635,5492,2174,
0.0006,893,60167,192982,650,5151,3022,
0.0007,491,37722,180381,589,4326,2283,
0.0008,704,67099,199929,644,3552,4798,
0.0009,675,80470,183260,578,3988,4955,
0.001,975,54799,184252,2853,10248,5067,
0.002,870,66467,172706,509,3280,4023,
0.003,652,55479,181120,569,3938,2856,
0.004,659,61711,192952,673,5607,4341,
0.005,931,62320,206823,606,3848,3967,
0.006,2121,82052,191421,602,5864,4295,
0.007,740,53737,174541,509,7079,2965,
0.008,878,44131,168971,621,4579,2775,
0.009,657,50543,169139,466,3518,2172,
0.01,639,27473,208635,695,4601,1805,
0.02,622,88712,168507,559,2675,5030,
0.03,796,55455,183139,683,6058,2494,
0.04,672,23315,169295,608,5313,1822,
0.05,777,104546,188588,654,3416,5399,
0.06,884,63280,178228,675,4649,3900,
0.07,576,95269,177257,601,3467,5497,
0.08,883,42932,207193,736,6969,3739,
0.09,586,65338,223709,731,6102,4588,
0.1,627,52193,215773,658,5163,2925,
0.2,918,119415,254601,948,5356,12365,
0.3,704,74342,216315,653,5765,7913,
0.4,656,74342,180380,584,5310,4343,
0.5,642,44843,190776,637,6207,6477,
0.6,788,29083,193383,744,5716,1265,
0.7,637,57474,205359,673,5393,3027,
0.8,766,67847,241919,755,5145,3844,
0.9,729,58176,276927,668,2883,3880,
1,623,66568,265912,650,5316,3876,
