 ,DA,SA,LL,TV,VEC
1e-05,425,615,9930,4720,405,
2e-05,430,390,10515,4585,355,
3e-05,425,450,8760,4265,380,
4e-05,410,405,12870,4005,390,
5e-05,390,470,9570,4670,390,
6e-05,365,420,9285,4335,350,
7e-05,405,400,9755,4190,380,
8e-05,410,430,10390,4195,425,
9e-05,500,545,8805,4645,430,
0.0001,400,365,10410,4255,360,
0.0002,405,410,10820,4205,365,
0.0003,485,640,10170,4485,400,
0.0004,570,555,11525,4605,410,
0.0005,555,590,11320,4265,425,
0.0006,570,550,11825,4305,435,
0.0007,680,610,9850,4520,420,
0.0008,605,625,11505,4180,430,
0.0009,685,710,9680,4405,445,
0.001,705,560,10580,4370,455,
0.002,785,510,11540,4420,395,
0.003,760,625,11455,4415,455,
0.004,690,615,10815,4245,540,
0.005,755,650,8800,4230,465,
0.006,665,650,10215,4560,440,
0.007,785,560,12040,4350,445,
0.008,745,690,9200,4460,490,
0.009,715,590,10810,4530,420,
0.01,630,660,8115,4440,455,
0.02,705,665,10580,4505,475,
0.03,855,610,10115,4130,490,
0.04,785,575,9790,3985,430,
0.05,820,580,11440,3845,380,
0.06,800,550,11995,3930,440,
0.07,860,565,9700,3745,505,
0.08,940,695,9945,3930,480,
0.09,905,495,12065,3765,520,
0.1,985,540,9800,3920,440,
0.2,1120,540,11245,3910,495,
0.3,1215,545,10075,3695,535,
0.4,1130,630,11595,3775,560,
0.5,1075,640,9985,3775,375,
0.6,1125,580,10875,3840,455,
0.7,1275,540,8840,3915,470,
0.8,1325,480,10985,4050,510,
0.9,1405,685,10940,4100,470,
1,1345,680,11325,3880,485,
