 ,DA,SA,LL,TV,VEC
1e-05,400,900,5500,5500,400
2e-05,100,100,16001,4100,200
3e-05,300,400,6401,4000,300
4e-05,300,500,7901,4700,200
5e-05,100,500,9900,4200,200
6e-05,200,600,12601,4700,400
7e-05,400,300,7900,4300,1000
8e-05,1000,700,18801,3900,400
9e-05,100,300,14901,3500,300
0.0001,300,600,3300,4500,200
0.0002,300,500,7700,3900,200
0.0003,400,300,5600,5700,400
0.0004,600,400,11200,5400,500
0.0005,900,300,3500,3701,400
0.0006,400,400,9101,3600,300
0.0007,500,800,11400,4200,200
0.0008,500,500,7500,3500,600
0.0009,500,400,10900,4400,500
0.001,300,300,14501,4400,400
0.002,800,400,16900,4500,400
0.003,700,500,3700,3901,1100
0.004,300,500,9000,3800,700
0.005,600,800,7201,4000,800
0.006,900,500,11501,4500,300
0.007,700,200,9800,3900,200
0.008,600,700,2400,5400,400
0.009,500,600,16400,5200,300
0.01,500,900,2700,3900,200
0.02,1300,2000,11300,4300,300
0.03,1100,900,10300,4200,300
0.04,500,600,7600,3100,300
0.05,700,600,19601,3900,300
0.06,700,701,14800,3600,600
0.07,800,900,11301,3600,600
0.08,1000,600,16900,4200,1400
0.09,1000,500,13100,4100,700
0.1,700,400,14601,3500,400
0.2,1200,900,11600,3700,600
0.3,1100,400,5100,3200,400
0.4,900,1200,16000,3400,800
0.5,1501,300,6900,3600,300
0.6,800,100,11600,4900,300
0.7,600,900,5200,4400,400
0.8,601,400,13900,3300,700
0.9,800,400,7100,3600,500
1,1800,400,12700,3900,400
