 ,DA,SA,LL,TV,VEC
1e-05,500,400,4000,5500,600
2e-05,500,200,4800,4701,300
3e-05,100,100,3100,3400,300
4e-05,100,300,11500,3800,400
5e-05,100,100,12501,3700,200
6e-05,400,300,17300,4200,300
7e-05,100,200,7600,5001,200
8e-05,400,500,3300,5001,500
9e-05,100,200,6800,3600,300
0.0001,400,500,8001,3500,400
0.0002,400,500,17000,3800,400
0.0003,400,1400,4300,5100,500
0.0004,500,400,6600,4500,400
0.0005,500,1100,8400,4400,1301
0.0006,1000,600,4700,4000,400
0.0007,1200,700,12400,4800,400
0.0008,1000,1200,8600,4500,500
0.0009,901,1100,6500,4000,700
0.001,600,500,12001,3700,700
0.002,600,400,17900,4101,400
0.003,1000,800,11200,4500,400
0.004,500,700,9201,5200,300
0.005,500,200,16300,3600,200
0.006,1500,400,10700,4500,500
0.007,1000,400,2500,4600,200
0.008,1200,600,2800,5701,500
0.009,500,500,14100,4601,400
0.01,1000,500,11000,4500,500
0.02,600,900,27201,4500,500
0.03,700,400,4700,4201,500
0.04,1400,400,6200,4300,300
0.05,1100,400,14500,3300,1000
0.06,700,400,3100,3300,400
0.07,800,500,12800,3401,300
0.08,900,600,4200,3300,400
0.09,700,200,5200,3100,200
0.1,900,900,7700,3900,500
0.2,1300,400,15000,3600,1000
0.3,1500,800,9000,4000,500
0.4,1100,500,13200,3700,800
0.5,1900,500,3600,3300,300
0.6,1000,500,11900,4100,600
0.7,1000,400,7100,3900,300
0.8,1800,400,4000,4300,300
0.9,1400,1200,2500,4400,400
1,2000,600,12001,3300,800
