 ,DA,SA,LL,TV,VEC
1e-05,700,600,17500,4700,600
2e-05,200,400,16300,3600,500
3e-05,500,800,11700,5500,300
4e-05,700,500,15901,4200,300
5e-05,400,400,4500,4700,400
6e-05,500,400,15001,6300,200
7e-05,1300,400,7000,3900,200
8e-05,100,300,8600,3700,400
9e-05,1200,500,2200,4200,300
0.0001,200,100,12900,3300,200
0.0002,200,300,17500,3700,500
0.0003,600,1300,4100,4900,500
0.0004,600,600,10800,3800,500
0.0005,900,500,31201,4600,600
0.0006,400,300,3201,3600,300
0.0007,900,900,4900,4500,900
0.0008,600,1500,17001,4600,400
0.0009,600,1500,3500,4500,300
0.001,1500,300,16801,3800,400
0.002,500,300,10900,3400,300
0.003,600,400,15600,5000,201
0.004,800,600,14700,4000,400
0.005,901,300,12300,5100,300
0.006,500,300,11200,4800,300
0.007,800,300,17700,4001,900
0.008,800,1900,3700,3500,800
0.009,900,400,9600,4600,500
0.01,500,400,16701,4100,600
0.02,300,1200,3600,3500,400
0.03,700,300,8900,3000,300
0.04,1200,500,11700,3800,1100
0.05,800,700,8601,4300,500
0.06,600,500,9500,4500,300
0.07,600,700,8500,4000,500
0.08,200,500,12300,3100,400
0.09,400,400,18801,3300,300
0.1,900,500,5500,3500,400
0.2,1000,1000,9701,4200,500
0.3,1000,600,14500,3400,400
0.4,1400,400,10901,3700,200
0.5,900,700,18000,3401,800
0.6,900,201,9000,3100,400
0.7,1100,400,6100,3400,400
0.8,1900,500,7200,3200,400
0.9,1700,600,16300,4400,300
1,1200,800,5000,4400,600
