 ,DA,SA,LL,CBT,TV,VEC
1e-05,586,20393,387752,2941,9455,1474
2e-05,482,201410,464588,2908,14887,13953
3e-05,482,6133,457726,2640,3968,793
4e-05,510,46288,504845,2625,9553,3351
5e-05,1411,68366,356995,2431,41743,8635
6e-05,914,155312,334300,908,11575,20640
7e-05,529,160656,356791,950,8294,34727
8e-05,2424,232929,1265331,2620,23215,39405
9e-05,848,142341,369611,1529,11847,11897
0.0001,772,224197,341328,988,9193,9660
0.0002,2128,108305,367809,1394,26129,17302
0.0003,1402,70635,433909,2222,11915,6837
0.0004,1605,33974,442867,1658,28596,4460
0.0005,1327,127961,551885,1660,19183,10311
0.0006,759,137169,313893,1074,8767,7059
0.0007,1607,56078,310620,1695,11862,5784
0.0008,1082,68052,335707,2070,9227,8931
0.0009,1433,115048,452074,1237,11694,6518
0.001,1995,2221,474659,2976,4313,1528
0.002,1897,143452,468643,2018,21359,15039
0.003,1097,65556,400642,1500,6920,3643
0.004,2017,141170,344339,1716,12856,6551
0.005,3113,135961,472335,1710,13222,42122
0.006,1680,210049,319295,1884,13178,16112
0.007,1089,78414,332931,1315,14236,4782
0.008,1704,150457,366569,1474,16036,18121
0.009,2490,80700,387820,2421,14862,5136
0.01,2344,206649,356473,1797,4287,22651
0.02,1830,65689,410610,1991,23471,7756
0.03,1527,86703,427130,1575,15479,6135
0.04,1250,152747,396304,1169,14690,7098
0.05,1482,223523,567478,1725,5376,37714
0.06,931,40824,311575,1203,5787,2724
0.07,1980,284480,502059,1641,10571,21874
0.08,1522,58256,305539,1603,6925,3306
0.09,1512,161834,361755,1660,4119,14163
0.1,1736,22738,504966,1335,35278,2090
0.2,2311,28389,362538,1404,15078,6825
0.3,855,152486,471052,1394,46129,10322
0.4,1346,72052,324403,1176,13472,4465
0.5,2782,103858,526920,1659,36824,30743
0.6,960,100937,349519,1128,9697,6226
0.7,1855,203390,467695,1606,36294,66376
0.8,969,127726,411051,1621,9037,9713
0.9,1704,24246,598529,2250,22661,4490
1,1793,32534,455039,794,10090,6551
