 ,DA,SA,LL,CBT,TV,VEC
1e-05,1200,171814,998980,2500,37203,14701
2e-05,600,73605,5012698,1800,18502,5500
3e-05,1000,929274,754860,1800,5501,41003
4e-05,900,50104,648652,2300,31902,5201
5e-05,900,152312,773561,2601,38503,12901
6e-05,800,351628,5874967,2001,20301,24602
7e-05,800,104608,771462,2200,50504,5600
8e-05,2600,230819,680854,1500,17602,13601
9e-05,700,229319,606748,2700,38303,17002
0.0001,800,416633,3860107,1400,3401,24902
0.0002,1600,82107,577446,2300,36203,11801
0.0003,2700,69805,836966,2700,35303,7901
0.0004,1500,70606,787962,3701,26102,9101
0.0005,1600,14901,551444,2400,14202,2500
0.0006,2301,71405,759860,2900,31403,8100
0.0007,1701,108608,751259,2600,41604,15001
0.0008,2100,18501,769562,3000,15001,2000
0.0009,1600,81407,711956,2100,31102,6301
0.001,1100,259421,703656,2600,34303,3986116
0.002,2000,299224,8777998,2901,22601,29803
0.003,2201,353028,4760978,3100,19202,25802
0.004,2600,141811,751459,2701,47904,12400
0.005,1900,392431,4728075,2601,25402,27002
0.006,4500,99508,676754,3300,44504,13701
0.007,1800,129910,774462,2300,27802,5901
0.008,2500,188715,4903190,2700,35103,17401
0.009,2000,382931,619249,2401,17301,167913
0.01,2400,84106,809165,2100,32503,6500
0.02,2800,320626,958476,2600,7001,37503
0.03,4301,285222,884570,3000,7101,32302
0.04,2300,322626,4730876,2300,7300,22002
0.05,2000,164613,777562,2200,27202,13901
0.06,2800,322426,883370,3400,9001,31103
0.07,3101,28602,825765,3100,22802,3500
0.08,2400,352927,2990737,2300,16601,26802
0.09,1900,208717,838866,2301,41903,20602
0.1,1800,358829,954075,2401,15401,2780820
0.2,1700,116109,661152,2300,30903,9201
0.3,2300,406832,1499319,2500,26602,40503
0.4,3600,179214,4375145,3200,47504,15901
0.5,2400,211517,2832924,2300,26502,21602
0.6,3400,40803,2138569,3300,39803,5501
0.7,2200,112709,4730073,2800,32202,11101
0.8,2100,148812,5532135,2700,29302,12501
0.9,2701,260720,2509997,3401,21601,30203
1,2900,351428,2518999,3600,5901,36502
