 ,DA,SA,LL,CBT,TV,VEC
1e-05,700,300,900,2400,900,300
2e-05,400,200,1700,1400,1000,200
3e-05,700,300,500,1800,800,100
4e-05,600,300,801,1800,900,200
5e-05,600,200,1300,1400,1300,200
6e-05,800,200,500,2600,1000,100
7e-05,500,200,600,1300,900,100
8e-05,500,100,400,1400,800,200
9e-05,700,400,1200,1800,1400,200
0.0001,600,300,900,2300,900,300
0.0002,1200,300,1300,3100,1200,300
0.0003,1101,300,1100,1900,1000,200
0.0004,1200,300,1200,2300,901,300
0.0005,1000,301,600,1800,1300,400
0.0006,900,200,701,1800,600,100
0.0007,1300,301,1300,2000,1100,300
0.0008,1600,200,1800,2901,1200,400
0.0009,1500,100,900,2400,1000,100
0.001,1500,300,1000,2000,1201,600
0.002,1800,200,1100,1601,1000,300
0.003,2200,300,601,1900,1000,200
0.004,2400,300,700,3600,1600,200
0.005,1301,200,400,2200,1200,200
0.006,1700,300,600,1700,1200,200
0.007,1700,300,1200,2501,1300,300
0.008,2200,300,1400,2100,1100,200
0.009,1801,200,1300,1800,1900,200
0.01,1201,300,700,1700,1300,300
0.02,2200,100,1900,2600,2200,500
0.03,1800,400,700,2100,900,200
0.04,2500,400,1200,2600,1000,300
0.05,3500,300,1301,2700,1600,300
0.06,1300,300,900,1700,1100,300
0.07,1300,300,600,1600,900,200
0.08,2200,200,1300,1400,900,200
0.09,1700,300,1200,1800,900,200
0.1,1401,200,900,2000,700,300
0.2,1500,100,700,1801,700,0
0.3,2100,500,1200,2300,1300,100
0.4,2900,300,1300,3301,1000,200
0.5,1500,400,601,2000,1100,200
0.6,1900,300,1001,2500,900,400
0.7,2000,200,400,1900,800,200
0.8,2000,300,1800,2301,1000,200
0.9,1700,200,2100,3001,1000,100
1,1500,200,2000,2600,1000,200
