 ,DA,SA,LL,CBT,TV,VEC
1e-05,600,401,1400,1300,1200,200
2e-05,400,200,1300,1700,1500,201
3e-05,300,200,1100,1500,1200,100
4e-05,400,200,1000,1100,1001,100
5e-05,600,300,600,1900,700,200
6e-05,200,100,1401,1200,500,100
7e-05,700,200,500,1000,700,0
8e-05,500,100,400,1300,1100,100
9e-05,500,100,1000,1200,1000,100
0.0001,200,100,300,1800,900,100
0.0002,900,300,1000,2000,800,100
0.0003,2101,300,1000,2200,800,100
0.0004,900,200,900,1800,700,100
0.0005,700,100,200,1500,400,0
0.0006,1300,300,1000,1500,800,301
0.0007,1200,301,1200,2200,1200,200
0.0008,900,100,500,2301,800,100
0.0009,800,100,600,1300,900,100
0.001,900,200,500,2100,801,200
0.002,1100,300,800,1500,800,200
0.003,1400,200,600,1900,700,100
0.004,1300,300,700,1700,1200,200
0.005,1900,100,700,2100,1000,200
0.006,1700,300,600,1400,1100,200
0.007,1500,200,900,2001,1100,0
0.008,1800,300,1100,1600,1000,100
0.009,1600,300,900,1000,600,0
0.01,1300,200,700,1700,1200,300
0.02,2100,500,1600,2501,1200,200
0.03,1900,100,700,1801,800,100
0.04,1600,200,1000,1000,900,200
0.05,2700,400,1200,2301,2000,200
0.06,2500,700,1300,2401,1000,200
0.07,2601,200,300,2100,1100,200
0.08,1800,200,601,2100,800,200
0.09,2101,300,500,2100,800,400
0.1,1700,400,1400,1900,1300,300
0.2,2300,200,1300,1900,1000,300
0.3,2300,200,900,2400,700,201
0.4,2400,300,1900,2801,1000,300
0.5,1700,200,900,1600,700,400
0.6,2000,300,600,2500,1200,300
0.7,2300,200,1200,2701,900,200
0.8,3601,200,1700,2500,1200,400
0.9,2200,200,1101,1800,900,100
1,1300,300,2600,3100,900,300
