 ,DA,SA,LL,CBT,TV,VEC
1e-05,701,300,500,1800,700,100
2e-05,800,300,500,1800,1100,200
3e-05,500,300,300,2000,600,100
4e-05,400,200,601,1400,700,100
5e-05,400,100,500,900,900,100
6e-05,500,100,600,1200,800,0
7e-05,500,100,300,2100,600,100
8e-05,1100,300,1100,2400,700,0
9e-05,400,200,1300,1600,700,100
0.0001,1200,200,1200,1900,1000,300
0.0002,900,200,1401,2100,1300,300
0.0003,1201,300,1000,1900,1400,300
0.0004,1400,200,700,2400,1200,100
0.0005,1300,300,700,1800,1200,100
0.0006,1600,200,1000,2200,1400,400
0.0007,1300,200,600,2000,1000,200
0.0008,1300,300,900,1400,1200,200
0.0009,1400,300,900,2001,900,200
0.001,1700,300,1000,2000,1100,200
0.002,2000,200,800,1501,900,200
0.003,1500,200,400,2200,1100,100
0.004,1700,100,400,2101,900,100
0.005,2901,400,1700,2900,1900,200
0.006,1700,300,500,2301,1200,300
0.007,1900,300,700,2601,1000,200
0.008,1600,300,1400,2200,1501,200
0.009,2000,300,1001,2500,1700,200
0.01,1400,300,1100,1701,700,200
0.02,1900,500,700,1800,1101,300
0.03,2000,300,1300,1801,600,0
0.04,2200,400,1000,1901,1000,500
0.05,3000,300,900,2500,1700,300
0.06,1900,600,2300,3001,1200,200
0.07,2500,301,1400,3500,2200,300
0.08,1700,300,600,1600,1600,300
0.09,1500,200,400,2701,900,300
0.1,1900,300,800,1700,900,300
0.2,2300,300,700,2300,1100,200
0.3,1800,300,600,2500,1400,300
0.4,1600,300,1000,2200,900,300
