 ,DA,SA,LL,TV,VEC
1e-05,1100,2080,4980,4400,1180,
2e-05,940,1080,4400,4000,640,
3e-05,980,1320,4880,4040,660,
4e-05,860,1660,6000,4100,940,
5e-05,1120,1040,5160,3600,500,
6e-05,940,1020,4700,3700,400,
7e-05,800,940,5140,4040,500,
8e-05,560,680,3940,3500,660,
9e-05,680,1040,3960,3620,880,
0.0001,720,860,3720,3840,660,
0.0002,1040,1520,5520,4320,740,
0.0003,840,1240,4720,3960,580,
0.0004,1100,1500,4620,3980,600,
0.0005,1100,1080,4120,4680,540,
0.0006,1400,1080,4520,4280,580,
0.0007,1020,1060,3440,4640,600,
0.0008,1820,1520,3580,4000,860,
0.0009,1640,1360,4300,4160,700,
0.001,1360,1540,4300,3980,660,
0.002,1500,1220,6060,4100,640,
0.003,1880,1280,4900,4080,840,
0.004,1220,840,6440,3920,700,
0.005,1760,1280,4300,4820,720,
0.006,1540,1420,5140,4180,800,
0.007,2140,1920,5040,4400,560,
0.008,2060,1320,7200,4960,800,
0.009,1780,1440,5060,4240,700,
0.01,2440,1380,5140,4300,780,
0.02,1960,1340,4520,4140,960,
0.03,2160,1340,4780,3840,940,
0.04,1800,1240,5060,4240,720,
0.05,2540,920,5000,3740,760,
0.06,2480,1100,4820,4040,1080,
0.07,2120,1000,5500,4420,720,
0.08,2760,1420,4180,4520,840,
0.09,2740,1120,4300,4180,1060,
0.1,2560,1160,5280,3780,900,
0.2,2820,1380,4700,4120,1220,
0.3,2900,1200,5900,4360,620,
0.4,2700,800,5080,4020,420,
0.5,3360,1200,3860,3860,780,
0.6,3100,1080,4540,3580,1020,
0.7,2940,1440,5980,4760,780,
0.8,3120,1260,4880,3980,900,
0.9,3220,1420,6060,4420,780,
1,2660,1240,4780,4820,480,
