 ,DA,SA,LL,TV,VEC
1e-05,1270,620,7170,2310,350,
2e-05,1140,510,5630,2550,390,
3e-05,1270,380,7780,2080,360,
4e-05,1250,490,6650,2120,410,
5e-05,1320,510,6180,2270,260,
6e-05,1330,520,6230,1980,360,
7e-05,1250,330,6250,2120,450,
8e-05,1400,540,6140,2020,460,
9e-05,1210,470,5660,1980,350,
0.0001,1380,540,5290,2030,420,
0.0002,1530,520,5900,2200,330,
0.0003,1680,600,6170,2260,340,
0.0004,1910,420,6640,2290,370,
0.0005,2090,520,4880,2300,330,
0.0006,2620,430,6590,2620,410,
0.0007,2720,420,5950,2110,300,
0.0008,2660,460,5590,2350,310,
0.0009,2670,450,6720,2010,490,
0.001,2830,710,6320,2290,590,
0.002,2960,470,5630,2140,290,
0.003,2930,460,6660,2170,330,
0.004,3130,480,5610,2430,470,
0.005,3460,560,5650,2450,380,
0.006,3030,530,5600,2220,400,
0.007,2960,460,5700,2300,500,
0.008,3200,530,4850,2610,470,
0.009,3080,500,5820,2260,360,
0.01,3460,690,5900,2150,310,
0.02,3630,560,5410,2350,410,
0.03,3850,490,6410,2210,580,
0.04,3370,700,6820,2170,370,
0.05,3770,530,5720,2110,470,
0.06,4440,510,6470,1900,430,
0.07,4420,670,5680,1870,490,
0.08,4720,520,5750,1880,450,
0.09,4340,750,6450,1890,490,
0.1,4350,620,6550,1770,370,
0.2,4390,620,5690,1630,390,
0.3,4830,480,6320,1870,470,
0.4,4120,570,6950,1880,330,
0.5,4300,480,6890,1910,450,
0.6,4510,390,5470,1670,350,
0.7,4260,430,6150,1970,370,
0.8,3700,420,5990,2000,440,
0.9,4080,510,7210,1760,460,
1,4470,480,7630,2210,530,
