 ,DA,SA,LL,TV,VEC
1e-05,800,500,1700,1100,200
2e-05,500,300,3900,900,200
3e-05,800,200,3800,800,400
4e-05,500,600,4200,1400,100
5e-05,700,600,2500,1301,100
6e-05,600,900,1500,1500,200
7e-05,1200,900,3400,1700,100
8e-05,400,200,1100,700,200
9e-05,800,100,1100,1000,100
0.0001,1500,300,4500,1100,100
0.0002,1200,300,2300,1400,100
0.0003,2000,800,3700,2300,200
0.0004,800,300,1600,800,100
0.0005,900,500,4100,1500,400
0.0006,1300,400,2800,1200,100
0.0007,1100,100,1900,1000,100
0.0008,2800,800,2900,900,400
0.0009,1800,400,5500,1200,200
0.001,2400,500,2900,1500,100
0.002,2700,400,3100,1300,100
0.003,3200,500,1800,900,100
0.004,2200,800,900,1001,200
0.005,2700,400,5000,2000,200
0.006,1900,300,2100,1600,200
0.007,2000,500,2300,800,0
0.008,2000,500,2400,1900,200
0.009,2800,500,3500,1200,100
0.01,1400,700,4801,1700,400
0.02,2900,600,3200,1300,200
0.03,2000,300,5800,900,100
0.04,4401,300,2800,1300,100
0.05,1200,200,5000,800,100
0.06,2300,1400,2700,1500,400
0.07,2500,300,3100,2300,200
0.08,2000,400,4900,1600,200
0.09,4400,400,3300,1100,300
0.1,2300,300,1200,900,600
0.2,1900,500,1500,900,1300
0.3,3200,400,4500,1400,100
0.4,1600,300,4400,1000,100
0.5,2700,500,1600,1600,200
0.6,3000,200,4100,700,100
0.7,3600,300,4300,800,300
0.8,3000,300,3300,600,100
0.9,1500,200,1601,1800,200
1,1100,100,4900,600,100
