 ,DA,SA,LL,TV,VEC
1e-05,600,800,3900,1500,200
2e-05,800,1200,3600,2400,200
3e-05,900,100,4301,800,0
4e-05,800,200,3800,1500,100
5e-05,1000,300,2000,1100,700
6e-05,200,200,4200,700,100
7e-05,700,200,2500,800,100
8e-05,1000,300,1600,1501,100
9e-05,600,100,5500,1000,200
0.0001,1500,200,1600,1400,200
0.0002,1000,200,7000,1500,500
0.0003,1200,200,5400,1200,300
0.0004,600,200,2000,1400,400
0.0005,1200,300,4200,900,400
0.0006,1400,200,3400,2500,200
0.0007,1000,100,4400,1000,100
0.0008,1000,200,5500,1000,300
0.0009,1000,500,1700,900,400
0.001,1100,200,1600,3000,500
0.002,2400,200,2100,2300,200
0.003,1500,200,700,800,0
0.004,2600,200,2400,800,0
0.005,3200,200,3200,1200,300
0.006,1500,100,1300,1100,300
0.007,1800,400,700,1700,100
0.008,3401,300,2600,1600,500
0.009,1500,200,4200,800,300
0.01,1500,600,3800,1200,300
0.02,2000,300,3900,1500,500
0.03,1500,300,2000,1300,300
0.04,1800,200,1400,900,100
0.05,1800,200,6200,900,300
0.06,2300,300,1500,1800,300
0.07,3100,300,3700,1400,400
0.08,4101,100,2100,1600,300
0.09,3000,200,1300,1200,300
0.1,4000,300,4300,1300,300
0.2,2900,300,2400,1300,200
0.3,2900,200,2500,1100,100
0.4,1600,1200,4700,1000,100
0.5,1400,1300,3700,1700,100
0.6,1500,100,6100,900,100
0.7,2200,200,3800,1100,300
0.8,1801,200,5200,1300,500
0.9,1500,200,1200,1100,300
1,1800,200,2300,1500,500
