 ,DA,SA,LL,CBT,TV,VEC
1e-05,905,1277,1243,15999,3144,826
2e-05,924,857,1648,23612,2995,1071
3e-05,773,598,1036,20934,2900,726
4e-05,815,810,919,16852,2834,750
5e-05,918,802,1720,16108,2796,856
6e-05,905,591,1103,26172,2598,690
7e-05,1147,888,1127,28977,2772,754
8e-05,1005,729,1111,24795,3229,684
9e-05,1022,782,1135,18030,2568,704
0.0001,816,692,936,33687,2708,801
0.0002,846,839,981,18816,3096,1082
0.0003,1049,849,1045,18965,2695,1037
0.0004,1031,907,1789,19943,2934,963
0.0005,890,668,1095,16456,2550,705
0.0006,1095,646,1186,22454,2613,680
0.0007,875,643,1014,21566,2632,692
0.0008,980,680,2200,30931,2716,735
0.0009,882,639,1033,20267,2729,746
0.001,1203,781,1069,15918,2668,733
0.002,1290,721,945,16559,2719,764
0.003,1600,858,947,14951,2756,719
0.004,1283,784,982,24424,2711,749
0.005,1069,734,925,14943,2593,732
0.006,1264,1052,909,16164,2669,1090
0.007,1448,817,1076,19158,2602,745
0.008,1302,701,1054,23058,2590,724
0.009,1446,708,913,20821,2642,722
0.01,1508,874,1153,16895,2708,785
0.02,2424,681,918,22156,2825,736
0.03,2112,671,1050,23348,2562,726
0.04,1696,703,962,29658,2633,746
0.05,2557,801,1114,25701,3023,718
0.06,2376,742,958,16577,2739,738
0.07,2385,896,961,35150,2623,720
0.08,3283,846,2184,18942,2682,821
0.09,2632,778,1266,19719,2813,740
0.1,3523,720,1221,26908,2693,737
0.2,4515,882,2487,23351,3095,765
0.3,4587,900,1555,18035,2548,753
0.4,3383,1011,1885,23254,2678,743
0.5,3383,824,1974,23424,2649,723
0.6,3853,771,2555,23140,2603,735
0.7,4159,709,1986,21843,2693,737
0.8,3512,727,2922,14840,2688,773
0.9,4207,739,3070,10566,2591,751
1,4597,812,2508,17360,2563,737
