 ,DA,SA,LL,CBT,TV,VEC
1e-05,2301,2900,3500,36303,5500,2100
2e-05,1900,2100,2000,48504,5601,1800
3e-05,1500,1501,1600,57104,4601,1800
4e-05,2400,1900,2000,29503,5400,2200
5e-05,2100,2100,1700,50804,5301,1800
6e-05,2200,2400,2900,51004,5800,2101
7e-05,1900,1600,2700,39804,5700,1900
8e-05,1600,1700,2200,40503,5301,2100
9e-05,1600,2000,1500,57105,4600,1700
0.0001,3000,1700,1900,47604,5501,1900
0.0002,2900,2200,2101,55604,5300,1801
0.0003,2300,1900,1700,49604,6301,1800
0.0004,3201,2100,2000,47904,4700,1700
0.0005,2701,2800,1800,46303,6001,2000
0.0006,2901,2200,1700,44903,5201,1400
0.0007,1900,1801,1700,24202,4000,1400
0.0008,2200,2300,1800,65405,5500,1901
0.0009,2400,2001,1600,35503,5300,1600
0.001,3000,2400,2000,52904,5201,2200
0.002,2901,2000,2500,29602,4801,1900
0.003,2601,2100,1400,50904,5100,1900
0.004,2500,2401,1600,57804,5401,1900
0.005,2301,1700,1600,46903,5101,1100
0.006,3500,2401,2400,44804,5200,1900
0.007,3301,12701,1600,48504,5200,1800
0.008,3400,2800,1700,28003,4500,1700
0.009,2900,2401,3700,66305,5301,2000
0.01,3400,2000,1700,39303,5101,1400
0.02,4300,2200,2901,38403,6100,2300
0.03,3901,1800,2600,29602,5001,2200
0.04,4600,2300,2301,68205,5500,2601
0.05,4700,2801,2000,58105,5800,2100
0.06,5900,3701,2100,64905,6301,2200
0.07,5701,2100,3400,58805,5700,2100
0.08,5101,1800,1500,48604,4700,1600
0.09,4900,2300,3001,32802,3901,1600
0.1,5901,1900,2800,50804,5400,1801
0.2,6600,2400,4001,61505,5700,2200
0.3,7601,2700,4400,39503,5800,2201
0.4,6301,2400,4500,51104,5600,2001
0.5,6501,2400,2700,47904,5600,2200
0.6,8701,3400,6301,42903,6100,2101
0.7,7501,2700,3600,45704,5700,2200
0.8,6400,2600,3601,57304,6101,1500
0.9,7700,2200,10100,68006,6400,2200
1,6601,1600,5500,42904,4700,1800
