 ,DA,SA,LL,CBT,TV,VEC
1e-05,2478,826,1418,30543,2467,643
2e-05,732,2465,803,18500,2502,2200
3e-05,669,633,1098,19897,3732,652
4e-05,644,614,2576,14490,2444,618
5e-05,2543,824,755,21896,2362,631
6e-05,853,1178,861,17381,2844,4527
7e-05,1105,843,1185,16013,4381,720
8e-05,847,1067,827,15594,2348,631
9e-05,751,914,804,22234,2853,690
0.0001,675,738,2648,15245,2557,729
0.0002,3699,1117,862,19513,2403,642
0.0003,848,705,916,18995,2542,4809
0.0004,997,1067,876,22807,6812,727
0.0005,1090,1145,717,19276,2366,824
0.0006,1121,18044,879,18470,3689,713
0.0007,1094,1167,1017,20643,2500,628
0.0008,1380,1080,1094,17322,7622,668
0.0009,1019,1111,3726,15821,2408,752
0.001,982,1260,5956,21220,2356,677
0.002,6468,1136,1048,16809,2827,708
0.003,1738,1338,1233,29948,7720,1036
0.004,2386,1844,1075,23547,2903,721
0.005,1744,1779,1084,17896,2895,5209
0.006,2552,6525,1685,28089,4095,4181
0.007,1770,1432,7488,17566,2762,739
0.008,1635,1156,1239,24878,2959,752
0.009,1695,1045,973,18536,7680,811
0.01,2284,1335,887,27413,7138,736
0.02,2156,1109,822,29649,2462,667
0.03,6196,1010,1144,23864,2612,744
0.04,7053,772,789,19524,2579,658
0.05,2641,730,1198,23747,2547,652
0.06,2455,1027,796,26062,2666,653
0.07,2534,1245,4821,21824,2407,653
0.08,2980,6703,781,16443,4323,694
0.09,2649,4785,1127,25730,2353,2160
0.1,3006,835,1035,18573,5149,702
0.2,3522,1091,984,23269,2881,3184
0.3,3815,1019,828,24621,2713,690
0.4,3067,730,1203,26638,2770,2401
0.5,4995,7974,1392,22962,3159,2525
0.6,4821,1745,1329,24863,11280,836
0.7,16707,1736,3195,35668,4063,811
0.8,12269,1391,1563,22111,3246,856
0.9,4831,1145,1834,22555,2701,731
1,12095,1664,2739,21015,4176,1555
