 ,DA,SA,LL,CBT,TV,VEC
1e-05,10300,963476,1020381,194940306,9694366,1026082
2e-05,4100,668353,926473,230659729,3015839,17053547
3e-05,5000,957276,924873,163484720,3438271,1217196
4e-05,5400,1110888,941675,193489991,2808522,1148991
5e-05,7601,968576,826565,190442951,11322495,1110288
6e-05,9001,921073,7367282,174416484,3002237,875269
7e-05,6800,650652,731158,193640304,3339764,1217396
8e-05,7801,698655,1151191,183552706,2839124,1073285
9e-05,25902,653551,789563,187225996,3294161,17137354
0.0001,10201,698055,923173,184350469,19191517,13930501
0.0002,12601,678253,943275,186529041,3184452,1062984
0.0003,18001,726958,808964,196395021,3426671,1222197
0.0004,16901,735359,871869,210280718,3034240,9219929
0.0005,19701,851168,1060084,170291058,19251021,1081586
0.0006,18301,744259,1137990,213458070,3400268,1238898
0.0007,22402,736558,5084501,187343406,3430371,17075150
0.0008,21402,606448,1127489,180201341,18955298,1011780
0.0009,19801,694655,1095787,178365296,18827188,1140690
0.001,23002,741559,1130289,204860690,19260922,1186494
0.002,33003,755460,1239598,191910966,16931938,1265300
0.003,33503,607348,6139485,207632909,2645009,833066
0.004,40503,704155,1155091,215975268,3412469,1105388
0.005,39403,606148,938775,178016867,3527079,1222197
0.006,43503,790462,1196595,183586507,3199253,1039182
0.007,51504,688855,3933711,169425088,19374731,1168392
0.008,58904,704956,930374,155840315,3389068,1152391
0.009,45804,653251,855267,194110339,10067196,1048383
0.01,64305,727158,3792499,186129408,3082144,974077
0.02,85207,721557,959075,185858686,19137612,1029581
0.03,101308,741359,945975,191186305,2835524,1198294
0.04,126610,705856,4995895,181760159,15096392,990478
0.05,130111,611948,994678,211773629,3487576,1211095
0.06,144411,679454,1071685,245133463,14651757,964376
0.07,159313,743259,3169450,162182510,3320162,21240178
0.08,154612,645751,2841125,202914526,19534943,1153391
0.09,149411,725158,979577,185212627,19427934,1238497
0.1,183414,768961,1422213,198514377,12169461,1212196
0.2,191115,771461,5861363,183806810,19478238,1227097
0.3,154313,637850,6206290,185669257,3400468,1121189
0.4,202816,750959,11253389,207650791,19526842,1203095
0.5,193315,746359,12854715,180463845,11136979,1097487
0.6,166013,590046,1304303,165680005,3349063,17194050
0.7,437334,735658,15144092,189845147,3471773,1225397
0.8,190815,732858,10203204,197632176,18314944,1172892
0.9,186415,774461,2325483,187923817,19431132,1119288
1,156812,602448,5237715,191445354,2950434,1104287
