 ,DA,SA,LL,CBT,TV,VEC
1e-05,8701,916172,1131689,174261794,15414221,1108887
2e-05,6201,760660,1135590,220323340,19403736,1076085
3e-05,5600,687555,839967,184512405,3202554,1122889
4e-05,8000,582146,816965,172365644,19316929,1183394
5e-05,7001,477837,939974,199434987,3139848,1206396
6e-05,9601,749659,988378,213657212,19386935,1204995
7e-05,7301,476038,747259,172948890,2545001,17222763
8e-05,10101,728058,5987574,200732089,3334264,1113088
9e-05,10201,745959,1106988,185315869,19411236,1248299
0.0001,10301,747159,5148807,185590591,3118447,1084386
0.0002,16201,726958,5194311,195354263,19463841,1192095
0.0003,13201,575745,803664,221707249,3627387,1195895
0.0004,22002,661853,955875,232345691,2980936,1123089
0.0005,18702,754959,5044699,176085838,11479209,1218996
0.0006,18401,759260,1160492,170361585,11401603,1214596
0.0007,20102,706056,2822323,194744615,3336464,882370
0.0008,18802,670053,970077,206632755,7894825,1103488
0.0009,23102,639951,902871,203109177,3163351,896071
0.001,21802,21583808,963976,207734243,19492843,1221597
0.002,34303,749359,4904688,187519542,23341948,1219097
0.003,39003,519241,917673,161549686,19515045,1104187
0.004,40403,757360,1250099,218087161,3286260,17239265
0.005,42303,699556,4858285,180850913,19020105,1106488
0.006,38803,633850,5149208,204963221,3570283,1252999
0.007,46704,9991590,977177,198774931,3434472,17150857
0.008,53204,654152,806164,192285117,3474675,1103187
0.009,57304,736759,1076686,184287283,19500643,1152791
0.01,55604,628650,16899438,196832075,19224922,929373
0.02,96608,758460,917572,191773672,19001303,1207396
0.03,113609,755260,5071901,156483577,3311562,17190960
0.04,128710,743459,5008596,176226936,23413651,1223197
0.05,144612,727557,1053683,192034782,3125947,1063984
0.06,163513,746459,1417012,201852356,16256185,1119288
0.07,166913,690354,1220997,187738037,11616018,1212396
0.08,165513,745059,1199795,215598037,3498676,1216496
0.09,146611,743259,4785678,179197258,19506741,1206096
0.1,177614,724457,5220513,161635569,15530027,1200595
0.2,180714,764361,4888686,181069795,2664310,21152070
0.3,200116,672153,2217275,176557034,3357265,15263305
0.4,173414,670453,11233488,173057973,14754366,1260199
