 ,DA,SA,LL,CBT,TV,VEC
1e-05,15816,282172,564781,22582901,1601559,428856
2e-05,13872,295767,513481,24395810,1648279,439652
3e-05,11510,265254,521506,24520987,1593790,438238
4e-05,11474,254024,495162,24591205,1598878,418867
5e-05,8480,246917,460798,25540548,1525563,422291
6e-05,12184,310069,504629,25237981,1529646,421676
7e-05,9508,264190,528664,25130179,1681315,419577
8e-05,20549,315991,494544,21514322,1526334,607790
9e-05,29774,249136,478187,23255309,1592334,439503
0.0001,7426,278998,512892,26307036,1668282,431394
0.0002,19223,290076,536392,25111858,1824815,666713
0.0003,15151,337697,515443,26057711,1601422,433182
0.0004,18905,272283,449032,27234885,1784017,435296
0.0005,11756,252186,424383,23847236,2378127,552646
0.0006,14719,255565,442365,24565917,1616879,424679
0.0007,14203,264441,445452,24196609,1962820,420208
0.0008,13098,259388,441618,26194011,1607964,439662
0.0009,20740,272465,471751,24523053,1607248,438759
0.001,17048,267005,501588,26883742,2123676,680605
0.002,12385,247752,386132,25570192,1539283,421007
0.003,19971,248667,476523,25106609,1609178,440781
0.004,27617,477914,576737,26773572,1832118,423146
0.005,23833,249716,454414,23000895,1561849,440100
0.006,30509,264584,454173,25563844,1537240,462507
0.007,25291,254883,441984,27078828,1611174,440600
0.008,33681,280843,479949,30252671,1688240,458544
0.009,27741,258380,651808,24970370,1604762,437700
0.01,28039,256556,427462,22112935,1620645,419514
0.02,46459,289031,491951,23347893,1534899,420407
0.03,44734,275386,478152,25342814,1603404,443397
0.04,61978,281404,431245,27725024,1731189,473565
0.05,59016,276581,439560,25558789,1646945,430734
0.06,61767,275783,504292,26318849,1966387,433281
0.07,65226,254492,450603,25376920,1583720,452632
0.08,71802,249883,483392,24558630,1556800,429901
0.09,113101,260875,503646,25929693,1509864,414504
0.1,74955,314722,430636,23654987,1653738,438794
0.2,78639,262102,431009,25278145,1505988,412234
0.3,88332,252485,547545,29432668,1618136,440565
0.4,87080,250866,763522,27034165,1547212,424170
0.5,73830,280648,533345,27065974,1645068,439456
0.6,85027,312840,560986,24846357,1577812,421951
0.7,96301,283890,688205,26728124,2024025,508404
0.8,281596,734141,1594742,64999418,2601751,893826
0.9,118049,269956,789873,27363770,2050534,533700
1,94841,299586,1005169,26923003,1859803,486748
